,px_rad,A0_arttrack_PPV,A0_arttrack_TPR,A0_arttrack_TS,A0_arttrack_F1,A1F0_openpose_body25_PPV,A1F0_openpose_body25_TPR,A1F0_openpose_body25_TS,A1F0_openpose_body25_F1,A1F1_openpose_coco_PPV,A1F1_openpose_coco_TPR,A1F1_openpose_coco_TS,A1F1_openpose_coco_F1,A1F2_openpose_mpi_PPV,A1F2_openpose_mpi_TPR,A1F2_openpose_mpi_TS,A1F2_openpose_mpi_F1,A2_posenet_PPV,A2_posenet_TPR,A2_posenet_TS,A2_posenet_F1
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.015862524785194978,0.019853853577829865,0.00889602767653055,0.017635172371563288,0.059377162629757785,0.05914793878395147,0.03053598120862695,0.059262329050973894,0.024850756629182284,0.024679442989107955,0.012537647965258808,0.02476480354178196,0.02332105909170612,0.018337239762856748,0.010371987834360134,0.020531028095091077,0.012218181818181819,0.01158141458706742,0.005981201936770151,0.011891279728199321
2,10,0.08206653447896012,0.10270195754066722,0.047796240456790914,0.09123193730100417,0.22726643598615917,0.22638908038053218,0.12792147086319725,0.22682690979417047,0.09787588504789671,0.09718775847808106,0.051265270506108206,0.09753060800996058,0.09977204979835175,0.07845029642906383,0.0459352547025107,0.08783575177523928,0.04989090909090909,0.0472907762305253,0.024882118244468624,0.04855605889014722
3,15,0.218660497907028,0.27307745219424956,0.13821194819663,0.2428580167614853,0.4366782006920415,0.4349924169309251,0.278636403779917,0.4358336786849012,0.2418436762460086,0.24014336917562723,0.13700353912701532,0.2409905236217749,0.22777485533929512,0.17909830415000688,0.11143518915672986,0.2005248533497993,0.10952727272727272,0.10381910933406865,0.05629906542056075,0.10659682899207247
4,20,0.423881912315488,0.5211973452526073,0.3050820581939269,0.4675293117064577,0.6496885813148789,0.6469128996692393,0.47961581689996935,0.6482977694910572,0.42982090795501876,0.42668136714443217,0.2724632579424448,0.4282453834981672,0.4066280904786954,0.3197297669929684,0.2180125975368995,0.3579808582895956,0.18981818181818183,0.17992554804908314,0.10177025657022537,0.18473952434881089
5,25,0.6336197400308438,0.7488608254133576,0.5225765422004179,0.6864371382540724,0.7947404844290658,0.7912360479536998,0.656979405034325,0.7929843944206602,0.6227960571983896,0.6180766051253789,0.44972431077694236,0.6204273563377359,0.5961774504646677,0.46877154280987177,0.35579740477187105,0.5248533497993209,0.2776727272727273,0.2630563593771531,0.15618097030188988,0.2701669968864987
6,30,0.7871777924653007,0.8792912513842747,0.7104085893229943,0.8306887532693986,0.8744636678200692,0.8701280815314695,0.7735063663075417,0.872290487367113,0.7606552825211718,0.7544753511429358,0.6097262408190519,0.7575527134462496,0.747325968788357,0.5876189163104922,0.49022314239705544,0.657919110836678,0.38021818181818184,0.3599559350041311,0.22685064653302092,0.36980971917662875
7,35,0.8778365278695748,0.9392975011786893,0.8307098926300427,0.9075276164445962,0.92,0.9150605726872246,0.8476154042336139,0.9175236386224033,0.8557545467166459,0.8484514796971783,0.7422928709055877,0.8520873652197954,0.860775030685604,0.6768233834275472,0.6100410090717038,0.7577956159308428,0.4824727272727273,0.4556944635252095,0.30608101873212146,0.4687014271584004
8,40,0.9288389513108615,0.965864833906071,0.8993174061433447,0.9469901168014375,0.946712802768166,0.9411117226197028,0.8937671501372011,0.9439039536327881,0.9117034568929613,0.903177004538578,0.8305299102061464,0.907420201741053,0.9302121690338419,0.7313206506754893,0.693282801881861,0.8188623909855676,0.5821090909090909,0.5490465084373714,0.39382011415075774,0.5650946060434905
9,45,0.9461335095836088,0.9752469626433519,0.9239457831325302,0.9604696673189823,0.9586159169550174,0.9524202420242024,0.9148064984810461,0.9555080361454094,0.9414133000138831,0.9320962199312715,0.8809925945173445,0.9367315927614311,0.9631772751183587,0.7572373862696443,0.7359324758842444,0.8478814540402871,0.6676363636363636,0.6280788177339901,0.4784738872094235,0.6472537544948176
10,50,0.9565983696849526,0.9789200766542667,0.9372908796546141,0.9676305086634353,0.9659515570934256,0.9595765158806545,0.9281819390876447,0.9627534832390675,0.9555740663612384,0.9457268480351745,0.9058962884969729,0.9506249568399974,0.9791337892337366,0.7697821891370279,0.7573579275735792,0.8619279154125182,0.7376,0.6921921921921922,0.555421686746988,0.7141750580945003
