,px_rad,A0_arttrack_PPV,A0_arttrack_TPR,A0_arttrack_TS,A0_arttrack_F1,A1F0_openpose_body25_PPV,A1F0_openpose_body25_TPR,A1F0_openpose_body25_TS,A1F0_openpose_body25_F1,A1F1_openpose_coco_PPV,A1F1_openpose_coco_TPR,A1F1_openpose_coco_TS,A1F1_openpose_coco_F1,A1F2_openpose_mpi_PPV,A1F2_openpose_mpi_TPR,A1F2_openpose_mpi_TS,A1F2_openpose_mpi_F1,A2_posenet_PPV,A2_posenet_TPR,A2_posenet_TS,A2_posenet_F1
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.018615040953090096,0.02336448598130841,0.010469011725293133,0.020721094073767092,0.05612552806276403,0.05794392523364486,0.029346797096875987,0.05702023298589823,0.025,0.025856697819314642,0.01287420505661548,0.02542113323124043,0.02069950035688794,0.01806853582554517,0.009741350352704065,0.01929474384564205,0.013213019658395102,0.01277258566978193,0.006536989795918368,0.012989070172659592
2,10,0.08215438073963763,0.10308315166614762,0.04790852511217253,0.0914364640883978,0.20971635485817744,0.21651090342679127,0.11923142906158861,0.2130594727161251,0.09698795180722891,0.10028028651510433,0.05186020293122886,0.09860664523043944,0.10349750178443969,0.09034267912772585,0.050681579867179305,0.09647371922821024,0.05414115372220432,0.052336448598130844,0.027339300244100896,0.05322350704894662
3,15,0.21965748324646314,0.2751865671641791,0.1391509433962264,0.2443064182194617,0.4052504526252263,0.41838006230529595,0.25921636749662225,0.4117106069895769,0.23795180722891565,0.24602927436935534,0.1376066887301864,0.24192313581381103,0.2476802284082798,0.2161993769470405,0.13050018804061678,0.23087159015302727,0.12987431517885917,0.12554517133956386,0.06818950930626058,0.12767305559955644
4,20,0.4288905435591958,0.5284403669724771,0.31017770597738287,0.4734895191122071,0.6270368135184068,0.6473520249221184,0.46738641475483583,0.6370324954015942,0.4256024096385542,0.43977591036414565,0.2759765625,0.43257309046379916,0.42505353319057815,0.3710280373831776,0.24704418170504044,0.39620758483033935,0.22977763454721237,0.2221183800623053,0.12732142857142856,0.22588309836844606
5,25,0.6495408289898238,0.7690273288275051,0.5435098650051922,0.7042518837459634,0.7818346409173205,0.8071651090342679,0.6587846427663361,0.7942979767014102,0.6201807228915662,0.6406347230864966,0.4601117318435754,0.6302418120599939,0.6195574589578873,0.540809968847352,0.4059869036482694,0.5775116433799069,0.33902674830808893,0.3273179838207841,0.19981006647673313,0.3330694950134558
6,30,0.7969719533382973,0.8939309576837416,0.7281179138321996,0.8426715654113632,0.8684369342184671,0.8960149439601495,0.7889254385964912,0.8820104198590254,0.7623493975903615,0.7867578489275723,0.6318022965551673,0.77436132782622,0.76802284082798,0.670404984423676,0.5575129533678757,0.7159015302727877,0.4666451820818563,0.45010879701585327,0.29720853858784896,0.4582278481012658
7,35,0.8893025564656242,0.9544485881726159,0.8530952380952381,0.920724656302197,0.9109837054918527,0.9393279402613566,0.8603590766600171,0.9249387254901961,0.8578313253012049,0.8847468157812985,0.7716066106746139,0.871081205077229,0.8793718772305497,0.767601246105919,0.6944757609921083,0.8196939454424484,0.5865291653238801,0.5639913232104121,0.4035476718403548,0.575039494470774
8,40,0.9406800694961529,0.9805950840879689,0.9234892787524367,0.9602229541423866,0.9369342184671092,0.9648850217526413,0.9060402684563759,0.9507042253521126,0.9114457831325301,0.9388768228358672,0.8603923798692067,0.9249579703499924,0.940756602426838,0.8209280597944566,0.7805744743855493,0.8767670048228838,0.6877215597808573,0.6596599690880989,0.5076117982873454,0.6733985484379931
9,45,0.9570613055348722,0.9887179487179487,0.9467223177019396,0.9726321099760374,0.9505129752564876,0.9779571561626824,0.930576070901034,0.9640397857689363,0.939156626506024,0.9665220086794792,0.9095682613768962,0.9526428353192788,0.9710920770877944,0.8473995639987543,0.8265492102065614,0.9050390819890238,0.76603287141476,0.7338684779252855,0.5994955863808323,0.749605802585935
10,50,0.9640109208240258,0.9913221031138336,0.9559438838296825,0.977475777022776,0.9577549788774894,0.9851024208566108,0.9440809042236764,0.9712362301101591,0.9496987951807229,0.9767657992565055,0.928718703976436,0.963042150274893,0.9842969307637401,0.8589224540641545,0.8473118279569892,0.9173457508731082,0.8301643570737995,0.7933477055743764,0.6825649178590355,0.8113385826771654
