,px_rad,A0_arttrack_PPV,A0_arttrack_TPR,A0_arttrack_TS,A0_arttrack_F1,A1F0_openpose_body25_PPV,A1F0_openpose_body25_TPR,A1F0_openpose_body25_TS,A1F0_openpose_body25_F1,A1F1_openpose_coco_PPV,A1F1_openpose_coco_TPR,A1F1_openpose_coco_TS,A1F1_openpose_coco_F1,A1F2_openpose_mpi_PPV,A1F2_openpose_mpi_TPR,A1F2_openpose_mpi_TS,A1F2_openpose_mpi_F1,A2_posenet_PPV,A2_posenet_TPR,A2_posenet_TS,A2_posenet_F1
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.013666072489601902,0.01706653475142221,0.007647124016402527,0.015178178618565772,0.06213244694451547,0.06010388325500866,0.03151342238360783,0.06110133266281116,0.024723152201905744,0.023744744001978728,0.012260536398467433,0.024224072672218013,0.025853154084798345,0.01855058125154588,0.010918619886446353,0.021601382488479263,0.011399787910922587,0.010635666584219638,0.005532681420483788,0.011004478566858605
2,10,0.08199643493761141,0.10239920850853326,0.04770684489513713,0.09106907171139464,0.242137560726157,0.234232005936186,0.1351505637219923,0.2381191853155645,0.09863507597218646,0.09473163492456096,0.05077555349330505,0.09664395659853646,0.09617373319544985,0.06900816225575068,0.04186046511627907,0.08035714285714285,0.046394485683987276,0.04328468958694039,0.022905759162303665,0.044785668586052464
3,15,0.2178649237472767,0.27140389834690354,0.1374656335916021,0.24170511975390027,0.46330861672206597,0.4481820430373485,0.2950179094757408,0.45561981393009804,0.24517125933556527,0.23546871135295572,0.13650702609693147,0.24022205399949534,0.20854877628403998,0.14964135542913679,0.09544092128095914,0.17425115207373273,0.09278897136797455,0.08656937917388079,0.04688546550569324,0.08957133717210493
4,20,0.4198851257674787,0.5154388524191588,0.3010508378301619,0.4627810521720148,0.668882638711327,0.6465645081562037,0.4897959183673469,0.6575342465753424,0.43342776203966005,0.41627504328468956,0.2695819317635752,0.4246782740348221,0.38883143743536713,0.27900074202325004,0.1939477303988996,0.3248847926267281,0.1569459172852598,0.1464259213455355,0.08196040426415617,0.15150351887396032
5,25,0.6209150326797386,0.7328190743338009,0.5062984496124031,0.6722418784174976,0.8056762976220916,0.7786014331603657,0.6555023923444976,0.791907514450867,0.6250321916044296,0.6001483679525222,0.44127272727272726,0.6123375804213448,0.5735953119613926,0.4115755627009646,0.3151515151515151,0.4792626728110599,0.22720042417815484,0.21197130843433093,0.1231675768899109,0.21932181701855405
6,30,0.7793622499504852,0.8676957001102535,0.6965834661001947,0.8211602671118531,0.879570442342112,0.8495924919733268,0.7610619469026548,0.864321608040201,0.7592067988668555,0.7288009888751545,0.5919678714859438,0.7436932391523714,0.7273354015856601,0.5218896858768242,0.4364915184112536,0.6077188940092166,0.3091198303287381,0.28825710754017303,0.175311983160427,0.29832416528079825
7,35,0.8686868686868687,0.9272727272727272,0.8132764694974968,0.8970242356069128,0.9276399897724367,0.8958024691358024,0.8372951765520424,0.9114432860193443,0.8539788823074942,0.819574888779041,0.7188380663342727,0.8364232564005549,0.8428128231644261,0.6047489488003958,0.5434541009113136,0.704205069124424,0.3968716861081654,0.3694471865745311,0.23660502607871028,0.3826687116564417
8,40,0.9193899782135077,0.9541623843782118,0.8805007587253414,0.9364535001008676,0.9549987215545896,0.9222222222222223,0.8838144817794605,0.9383243311141817,0.9119237702807108,0.8747529644268774,0.8066059225512529,0.892951708485689,0.9200275766976904,0.6601533514716794,0.624327485380117,0.768721198156682,0.49522799575821846,0.46077947705969413,0.3135280295401141,0.47738308203424484
9,45,0.9374133491780551,0.9645404524149175,0.9061841853340992,0.9507834471675372,0.9654819739197136,0.9321155270303628,0.9020544672718586,0.9485054006531022,0.943342776203966,0.9046678192146209,0.8580463808854533,0.9236006051437217,0.9555325749741469,0.6856294830571358,0.6644295302013423,0.7983870967741935,0.5866914103923648,0.5438682723027771,0.39321250888415066,0.5644688177528376
10,50,0.9506833036244801,0.9691096305269533,0.922722029988466,0.9598080383923215,0.9728969572999233,0.9392742532707974,0.9153235506374789,0.9557900025119318,0.9605974761782127,0.9209876543209876,0.887461337140138,0.9403756460355477,0.9741468459152016,0.6989859015582488,0.6862554638173871,0.8139400921658985,0.6614528101802757,0.6116695268448149,0.46583271097834206,0.6355878232072347
