,px_rad,A0_arttrack_PPV,A0_arttrack_TPR,A0_arttrack_TS,A0_arttrack_F1,A1F0_openpose_body25_PPV,A1F0_openpose_body25_TPR,A1F0_openpose_body25_TS,A1F0_openpose_body25_F1,A1F1_openpose_coco_PPV,A1F1_openpose_coco_TPR,A1F1_openpose_coco_TS,A1F1_openpose_coco_F1,A1F2_openpose_mpi_PPV,A1F2_openpose_mpi_TPR,A1F2_openpose_mpi_TS,A1F2_openpose_mpi_F1,A2_posenet_PPV,A2_posenet_TPR,A2_posenet_TS,A2_posenet_F1
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.011015642211940957,0.013787398317937405,0.006161049842893229,0.012246647480252282,0.05591695501730104,0.05570108920446712,0.02870541423902231,0.05580881337201271,0.021379980563654033,0.021232593409623603,0.010767724793735141,0.021306032097399,0.01841136244082062,0.014476768233834276,0.008170570383627734,0.016208706390861378,0.009163636363636363,0.008686060940300565,0.004479203697120512,0.00891845979614949
2,10,0.05463758537122714,0.06838549565696952,0.031323018629617935,0.06074337150205131,0.21162629757785467,0.21080932028126292,0.11807861610935208,0.21121701892526593,0.08177148410384562,0.08120777609265131,0.04247494050623783,0.08148865522966242,0.08206207259337191,0.06452502412794706,0.037475976937860346,0.07224451991355356,0.034763636363636365,0.032951881979870395,0.017207862337101303,0.03383352208380521
3,15,0.15047367261511346,0.18833586102302496,0.09127965252255263,0.16728920458024615,0.4065051903114187,0.4049358885978216,0.25448401351702626,0.4057190219643597,0.20352630848257672,0.20212325934096237,0.11285604311008468,0.2028223574986165,0.18621778011572857,0.14642217013649525,0.08928871700016815,0.1639394874961408,0.07432727272727273,0.07045360540466014,0.03752662113534552,0.07233861834654587
4,20,0.29191451861643536,0.36536605542534123,0.1936992909875009,0.3245361582266854,0.6091349480968858,0.6067833999724253,0.4367371241440905,0.6079569001243267,0.3658197973066778,0.3632979456776506,0.22290838338550037,0.3645545102379635,0.33754164474837806,0.26540741762029507,0.17450820415193546,0.2971596171657919,0.13163636363636363,0.12477595477733351,0.068441352189367,0.12811438278595697
5,25,0.4412866270103547,0.5523231766165725,0.32503042596348886,0.4906006980589064,0.7443598615916955,0.7414862815386737,0.590989010989011,0.7429202928581294,0.5322782174094127,0.5286088515097201,0.36094897382790436,0.5304371887105701,0.503594599333684,0.3959740796911623,0.28480761602538673,0.44334671194813213,0.1970909090909091,0.18681924720805185,0.10608314413215376,0.1918176670441676
6,30,0.5599250936329588,0.7007168458781362,0.4518623877678016,0.6224589762429587,0.8222837370242214,0.8191093340686613,0.6959119128499472,0.8206934659483354,0.659586283492989,0.6550392940852061,0.4895414734672849,0.6573049252905369,0.6429949149570402,0.5055838963187647,0.3947680051674023,0.5660697746217969,0.2706909090909091,0.25658348269681513,0.1517078340262493,0.2634484711211778
7,35,0.6362634941617096,0.7960308710033076,0.54707330933889,0.707236439329007,0.8679584775086505,0.8646077485178547,0.7641038138174729,0.8662798729106229,0.7532972372622518,0.7481042327312836,0.6008859357696567,0.7506917542888766,0.7546905137646852,0.5934096236040259,0.497457235321313,0.6644025933930225,0.3522909090909091,0.33356287012808156,0.20676114051562233,0.34267119411431807
8,40,0.6829698171403393,0.8529371302792681,0.6110180348871588,0.7585489692298281,0.8973010380622838,0.893837032951882,0.8108818011257035,0.8955656858682138,0.8099403026516729,0.8043568178684682,0.6766411505451171,0.8071389042612066,0.8271085393652463,0.6503515786571074,0.5725209370069183,0.7281568385304106,0.4324363636363636,0.40927863436123346,0.2662547017732402,0.4205389348610227
9,45,0.70709407358449,0.8804004937594294,0.6451256281407035,0.7842873724723562,0.9103114186851211,0.9067971873707431,0.8324262751550436,0.9085509048211079,0.8475635152019991,0.8417206673100786,0.7310501736319004,0.8446319867183175,0.8705944239873751,0.6845443264855922,0.6213239894881742,0.7664402593393023,0.509090909090909,0.4814967670931352,0.3288237504697482,0.4949095022624434
10,50,0.7254901960784313,0.898254228041462,0.6703990228013029,0.8026812918951859,0.9211072664359862,0.9175513580587343,0.8506966636840086,0.9193258737394668,0.8692211578508955,0.8632290086860609,0.7640024405125077,0.8662147205312674,0.8965456777134841,0.7049496759961396,0.6519189085809002,0.7892868169188021,0.5720727272727273,0.5406185567010309,0.38494665753156504,0.5559010600706713
