,px_rad,A0_arttrack_PPV,A0_arttrack_TPR,A0_arttrack_TS,A0_arttrack_F1,A1F0_openpose_body25_PPV,A1F0_openpose_body25_TPR,A1F0_openpose_body25_TS,A1F0_openpose_body25_F1,A1F1_openpose_coco_PPV,A1F1_openpose_coco_TPR,A1F1_openpose_coco_TS,A1F1_openpose_coco_F1,A1F2_openpose_mpi_PPV,A1F2_openpose_mpi_TPR,A1F2_openpose_mpi_TS,A1F2_openpose_mpi_F1,A2_posenet_PPV,A2_posenet_TPR,A2_posenet_TS,A2_posenet_F1
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.012658227848101266,0.01588785046728972,0.0070951585976627716,0.014090343970161623,0.05220277610138805,0.05389408099688474,0.02723980475515667,0.053034947884733286,0.020180722891566263,0.020872274143302182,0.010366702769611635,0.020520673813169982,0.015703069236259814,0.013707165109034268,0.007372654155495978,0.014637391882900865,0.00837898807605543,0.00809968847352025,0.004135517735008748,0.008236971329003643
2,10,0.053363117398858274,0.06697819314641744,0.030609339407744875,0.05940046967813233,0.19040434520217261,0.19657320872274142,0.10707619209231291,0.19343960760269774,0.07710843373493977,0.07975077881619938,0.040803315269365634,0.0784073506891271,0.08137044967880086,0.07102803738317758,0.03941908713692946,0.07584830339321356,0.03512729616500161,0.03395638629283489,0.01756931012250161,0.03453191826389989
3,15,0.14743112434847358,0.18504672897196262,0.08939051918735892,0.1641110650642354,0.3723596861798431,0.3844236760124611,0.2332703213610586,0.37829552421827106,0.19518072289156627,0.20186915887850468,0.1101666099965998,0.19846860643185302,0.19414703783012136,0.16947040498442367,0.09948792977322604,0.18097139055222888,0.08540122462133419,0.08255451713395638,0.043816137566137565,0.08395374623792175
4,20,0.2894018366840407,0.3632398753894081,0.19199736538778198,0.3221439425334991,0.5829812914906457,0.6018691588785047,0.42073170731707316,0.592274678111588,0.3521084337349398,0.36417445482866045,0.21805633277373623,0.3580398162327718,0.33940042826552463,0.29626168224299065,0.1879075281564908,0.31636726546906185,0.1559780857234934,0.15077881619937694,0.08303311031051638,0.1533343893552986
5,25,0.44775378505832714,0.561993769470405,0.33192272309107634,0.4984113827876778,0.732045866022933,0.7557632398753894,0.5919960956564178,0.7437155119558552,0.5204819277108433,0.5383177570093458,0.35985006247396917,0.529249617151608,0.5060670949321913,0.44174454828660437,0.3086634740966478,0.47172322022621427,0.235256203673864,0.22741433021806853,0.1307540748701415,0.23126881039125613
6,30,0.5723504591710101,0.718156337589536,0.46736927442237536,0.6370165745856354,0.8186481593240796,0.8451713395638629,0.7118866439254788,0.831698344573881,0.6575301204819277,0.6800623052959501,0.5021854152288935,0.6686064318529863,0.6466809421841542,0.5644859813084112,0.43142857142857144,0.6027944111776447,0.3280696100547857,0.3171339563862928,0.1922568460812087,0.3225091081894504
7,35,0.657235045917101,0.8244084682440846,0.576529501415197,0.7313906918933848,0.864212432106216,0.8922118380062305,0.7825136612021858,0.8779889638258737,0.7518072289156627,0.7775700934579439,0.6187407040158651,0.7644716692189892,0.7630264097073519,0.6660436137071651,0.5518843572534847,0.7112441783100466,0.42700612310667097,0.41200248756218905,0.26531838205847014,0.4193701535053015
8,40,0.7118391660461653,0.8909599254426841,0.6547945205479452,0.7913907284768211,0.8937839468919735,0.9227414330218069,0.8315553060078608,0.9080318822808093,0.8123493975903614,0.8401869158878504,0.7036264022958518,0.8260336906584992,0.8301213418986438,0.7246105919003115,0.6310363537710255,0.7737857618097139,0.5130518852723172,0.49502487562189057,0.3367886608842818,0.5038771957588226
9,45,0.7374038222884091,0.9200991018891298,0.6930254257056216,0.818682832736291,0.9076644538322269,0.9370716510903426,0.8555176336746303,0.9221336603310852,0.852710843373494,0.8819314641744548,0.7653419843200865,0.8670750382848392,0.8733047822983583,0.7623052959501557,0.6863955119214586,0.8140385894876911,0.5997421849822753,0.578129853991923,0.41717103788388255,0.5887377412211325
10,50,0.7567634648796228,0.9372886566246542,0.7202929364516891,0.8374073056852513,0.9188292094146047,0.9485981308411215,0.8752515090543259,0.9334763948497854,0.8746987951807229,0.9046728971962616,0.8008825151682295,0.8894333843797856,0.9000713775874375,0.7856697819314642,0.7226361031518624,0.8389886892880905,0.6648404769577828,0.6402855369335816,0.48404504927264197,0.6523320158102767
