,px_rad,A0_arttrack_PPV,A0_arttrack_TPR,A0_arttrack_TS,A0_arttrack_F1,A1F0_openpose_body25_PPV,A1F0_openpose_body25_TPR,A1F0_openpose_body25_TS,A1F0_openpose_body25_F1,A1F1_openpose_coco_PPV,A1F1_openpose_coco_TPR,A1F1_openpose_coco_TS,A1F1_openpose_coco_F1,A1F2_openpose_mpi_PPV,A1F2_openpose_mpi_TPR,A1F2_openpose_mpi_TS,A1F2_openpose_mpi_F1,A2_posenet_PPV,A2_posenet_TPR,A2_posenet_TS,A2_posenet_F1
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.009704892057833234,0.012119713084343309,0.005418555789008073,0.010778706555213374,0.05906417795960112,0.057135790254761315,0.02991065648064224,0.05808398290168469,0.02240535668297708,0.021518674251793223,0.011098354381936472,0.021953065859197575,0.02102723198896932,0.015087806084590651,0.008862414644776986,0.017569124423963134,0.009809119830328738,0.009151620084095969,0.004757006942658781,0.00946896992962252
2,10,0.05565458506634977,0.06950284442245858,0.03189195324026785,0.061812582490101194,0.2296087957044234,0.2221122928518427,0.12726757369614514,0.22579834045763136,0.08575843420036054,0.08236458075686372,0.04385618332674832,0.08402725208175625,0.0827300930713547,0.05936186000494682,0.03579952267303103,0.06912442396313365,0.0344644750795334,0.03215434083601286,0.016916070266753416,0.03326935380678183
3,15,0.15290156466627056,0.1909473163492456,0.09278846153846154,0.16981962164540257,0.4354385067757607,0.4212218649517685,0.2724364101743721,0.4282122202665326,0.21066185938707185,0.20232500618352708,0.11508159819921215,0.20640928589452434,0.1785591175456739,0.12812268117734354,0.08061002178649238,0.14919354838709675,0.06521739130434782,0.06084590650507049,0.03250099088386841,0.06295585412667946
4,20,0.2939195880372351,0.3670541676972545,0.1950578338590957,0.3264408271007479,0.6312963436461263,0.6106851348008905,0.45013673655423886,0.6208197133517728,0.3775431367499356,0.3626020281968835,0.22693498452012384,0.3699217764319959,0.33574629438124787,0.24091021518674252,0.16314907872696818,0.2805299539170507,0.11161187698833511,0.10413059609201088,0.05693805788477144,0.10774152271273192
5,25,0.43612596553773025,0.544645065545387,0.3195936139332366,0.48438187417509904,0.7547941702889287,0.7301508780608459,0.5901639344262295,0.7422680412371134,0.5423641514293073,0.5209003215434084,0.3618556701030928,0.5314155942467828,0.5012064805239572,0.35963393519663617,0.26484517304189437,0.418778801843318,0.165694591728526,0.15458817709621567,0.08692628650904033,0.1599488163787588
6,30,0.5500099029510794,0.6868661884739056,0.43974663499604116,0.6108666959964805,0.8253643569419585,0.7984170170665348,0.6830300465509945,0.8116670857430224,0.6613443214009787,0.635171902052931,0.47928331466965285,0.647993943981832,0.6394346776973457,0.45881770962156815,0.36451169188445665,0.5342741935483871,0.22348886532343584,0.2085085332673757,0.12091222030981068,0.21573896353166985
7,35,0.6195286195286195,0.7734915924826904,0.5243922883487008,0.6880017595952931,0.8711327026335975,0.8426910709868909,0.7492852430173741,0.8566758863464923,0.7545712078289982,0.7247093742270592,0.5864691753402722,0.7393388846833208,0.7466390899689762,0.5357407865446451,0.4533277521975722,0.6238479262672811,0.2908271474019088,0.2711990111248455,0.16324404761904762,0.2806703338876807
8,40,0.6599326599326599,0.822716049382716,0.5777700710941565,0.7323881745246731,0.9002812579902838,0.8708879544892406,0.7942702458831491,0.8853407090771939,0.8078805047643575,0.7759089784813258,0.6550428064314053,0.7915720413827908,0.8241985522233712,0.5913925302992827,0.5251482538985285,0.6886520737327189,0.366118769883351,0.34115612648221344,0.21447429725112596,0.3531969309462916
9,45,0.6829075064369182,0.8488429345150172,0.6088645594208016,0.7568872791131598,0.9125543339299412,0.8827603264902301,0.8139110604332953,0.8974101081216999,0.8431625032191604,0.8097947069008162,0.7037833190025795,0.8261418117587686,0.8679765598069631,0.6228048478852337,0.5689109805693628,0.7252304147465438,0.4345174973488865,0.40469135802469136,0.2650816755620249,0.41907440552288416
10,50,0.7005347593582888,0.8671242951703849,0.6326238597746379,0.7749780893952674,0.9230375862950652,0.8929013109077418,0.8310313075506446,0.9077193864722153,0.8645377285603915,0.8303240168191937,0.7347340774786605,0.8470855412566237,0.8931402964495002,0.6408607469700718,0.5952216861934299,0.7462557603686637,0.4957582184517497,0.461386627189736,0.3140218303946264,0.47795527156549517
