,px_rad,A0_arttrack_PPV,A0_arttrack_TPR,A0_arttrack_TS,A0_arttrack_F1,A1F0_openpose_body25_PPV,A1F0_openpose_body25_TPR,A1F0_openpose_body25_TS,A1F0_openpose_body25_F1,A1F1_openpose_coco_PPV,A1F1_openpose_coco_TPR,A1F1_openpose_coco_TS,A1F1_openpose_coco_F1,A1F2_openpose_mpi_PPV,A1F2_openpose_mpi_TPR,A1F2_openpose_mpi_TS,A1F2_openpose_mpi_F1,A2_posenet_PPV,A2_posenet_TPR,A2_posenet_TS,A2_posenet_F1
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.024483004516282388,0.03078302450687388,0.013825503355704698,0.027273930888388722,0.05199818346957311,0.06843992827256426,0.03044807871293711,0.05909677419354839,0.029404372958029657,0.03496712492528392,0.01623196448390677,0.03194539249146758,0.04715270221254987,0.038852361028093245,0.021764607399966517,0.04260199901687695,0.013680257510729614,0.015242080095636582,0.007261853908586074,0.014418999151823582
2,10,0.09816971713810316,0.12343096234309624,0.05784313725490196,0.10936051899907322,0.19482288828337874,0.25642558278541544,0.124492164828787,0.22141935483870967,0.12214124151796935,0.1452480573819486,0.0710630209094897,0.1326962457337884,0.16648531011969533,0.13717872086072924,0.08132530120481928,0.15041782729805014,0.05177038626609442,0.057680812910938434,0.02804824880104636,0.05456601639807746
3,15,0.2555265034466366,0.3207040572792363,0.16579272054287478,0.28442915729593865,0.3667120799273388,0.4826658696951584,0.2632436837815811,0.4167741935483871,0.25860769037446596,0.3075313807531381,0.16343710292249047,0.28095563139931745,0.32499093217265146,0.26778242677824265,0.17207605146917612,0.2936260855317057,0.12446351931330472,0.13867304243873282,0.07019667170953102,0.13118461973423806
4,20,0.46422628951747086,0.5723915592028136,0.34468761030709494,0.512665704160651,0.5133969118982743,0.6757322175732218,0.41191473856804517,0.5834838709677419,0.41593365167127416,0.4946204423191871,0.29188712522045857,0.451877133105802,0.5125136017410229,0.4222952779438135,0.30127931769722816,0.4630509585449779,0.21620171673819744,0.24088463837417812,0.12858966177409062,0.22787673169352557
5,25,0.6463037794152603,0.7693831352574986,0.5414177618478694,0.7024932179304999,0.6164850136239782,0.8114166168559473,0.5392254220456802,0.7006451612903226,0.5428499623020859,0.6455469216975493,0.4181994191674734,0.5897610921501707,0.6750090678273486,0.5561864913329349,0.4387081565299387,0.6098640013108307,0.31813304721030045,0.3539242017308266,0.20125572713388767,0.33507557564627777
6,30,0.78369384359401,0.8915630070308275,0.7154947916666666,0.8341555977229602,0.6739327883742052,0.8870292887029289,0.6206608113759933,0.7659354838709677,0.6577029404372958,0.7818942336420676,0.5557443193884052,0.7144417144417146,0.8055857816467175,0.6637776449491931,0.5721277691911386,0.7278387678191054,0.4248927038626609,0.47227191413237923,0.2881047653692252,0.4473312623552669
7,35,0.864036130259092,0.9451378055122205,0.8227704843820733,0.9027691543524153,0.7057220708446866,0.9283154121863799,0.6692506459948321,0.8018575851393189,0.7325961296808243,0.8704090773365184,0.660548379786993,0.7955786026200873,0.8940877765687342,0.7367005379557681,0.677570093457944,0.8077994428969358,0.5254828326180258,0.5828622433799464,0.38187134502923975,0.5526872619551417
8,40,0.898027097694319,0.9654996166624074,0.8701059419622293,0.9305418719211822,0.723433242506812,0.9507609668755596,0.6973079448456992,0.8216634429400387,0.772304599145514,0.9173134328358209,0.7220394736842105,0.8385864374403058,0.9397896264055132,0.7743574417214585,0.7377562642369021,0.8490906111748321,0.6188304721030042,0.6841637010676157,0.4813269351137075,0.6498591549295774
9,45,0.9118136439267887,0.9721236695387735,0.8885800324299282,0.941003311664418,0.7327429609445958,0.9621347644603458,0.7122048112999337,0.8319154421242587,0.7924101533048504,0.9406324582338902,0.7546673049305888,0.8601827854317282,0.9626405513239028,0.7931858936043037,0.7694984053348797,0.8697361953137801,0.6909871244635193,0.7585394581861012,0.5664028144239226,0.7231892195395844
10,50,0.9191823151889708,0.9743008314436886,0.8974239962868414,0.9459393346379649,0.7363760217983651,0.9663289630512515,0.7179543945096303,0.8358247422680412,0.8064840412163861,0.956768038163387,0.7781280310378274,0.8752216009818629,0.9771490750816104,0.8051404662283324,0.7902610736286301,0.8828445027035885,0.7467811158798283,0.8164222873900293,0.6394120349104272,0.7800504342953207
