,px_rad,A0_arttrack_PPV,A0_arttrack_TPR,A0_arttrack_TS,A0_arttrack_F1,A1F0_openpose_body25_PPV,A1F0_openpose_body25_TPR,A1F0_openpose_body25_TS,A1F0_openpose_body25_F1,A1F1_openpose_coco_PPV,A1F1_openpose_coco_TPR,A1F1_openpose_coco_TS,A1F1_openpose_coco_F1,A1F2_openpose_mpi_PPV,A1F2_openpose_mpi_TPR,A1F2_openpose_mpi_TS,A1F2_openpose_mpi_F1,A2_posenet_PPV,A2_posenet_TPR,A2_posenet_TS,A2_posenet_F1
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.027299454010919783,0.035422343324250684,0.015658877378944832,0.030834914611005692,0.05232331120655994,0.07302452316076294,0.03144063819802909,0.060964513193812554,0.03132832080200501,0.04087193460490463,0.018054886856042368,0.035469378103570585,0.05328376703841388,0.046866485013623976,0.025572405590246802,0.04986952739924616,0.01731399157697707,0.020163487738419618,0.00940279542566709,0.01863041289023162
2,10,0.10541789164216715,0.13678474114441416,0.06330390920554856,0.11907020872865275,0.18781725888324874,0.262125340599455,0.12286079182630907,0.21883530482256597,0.12071846282372597,0.15749318801089918,0.0733502538071066,0.13667533695909198,0.1691449814126394,0.14877384196185287,0.08595717884130982,0.1583067555813279,0.06410856340664482,0.07465940054495913,0.03572359843546284,0.06898288016112789
3,15,0.2629147417051659,0.3404023926046765,0.17417918753478018,0.2966824644549763,0.34986333463490826,0.488283378746594,0.256,0.40764331210191085,0.2527151211361738,0.329700272479564,0.16694260485651213,0.2861196500354694,0.3351920693928129,0.29482288828337877,0.18603851444291608,0.3137141200347927,0.15161441272812354,0.176566757493188,0.08881578947368421,0.16314199395770393
4,20,0.4716505669886602,0.5998931623931624,0.3587859424920128,0.528097813308253,0.5025380710659898,0.7013623978201635,0.4139594724991959,0.5855323020928116,0.4093567251461988,0.5340599455040872,0.30163127116035704,0.4634665405533223,0.530359355638166,0.4664850136239782,0.3301195526417277,0.4963757610901711,0.2611137108095461,0.30408719346049046,0.1634446397188049,0.2809667673716012
5,25,0.6530869382612348,0.7986646122239343,0.5607645149657411,0.7185767097966729,0.6060132760640374,0.8457765667574932,0.5457102672292545,0.7060964513193813,0.5284043441938179,0.6893732970027248,0.4267881241565452,0.5982501773468905,0.7007434944237918,0.6163487738419619,0.48792062122519414,0.6558422731226442,0.3734206832007487,0.434640522875817,0.25133858267716536,0.4017115529826328
6,30,0.7900041999160017,0.9211557296767875,0.7399685287175453,0.850553922676916,0.655993752440453,0.9155313351498637,0.6185567010309279,0.7643312101910829,0.6299081035923141,0.8217983651226158,0.5542080117603823,0.7131709624024591,0.8240396530359355,0.7247956403269755,0.6276545540349221,0.7712380400115977,0.486195601310248,0.5652883569096845,0.35388283378746593,0.5227672955974844
7,35,0.863922721545569,0.9670897978373296,0.8392492860057119,0.9125998225377107,0.6841077704021866,0.954248366013072,0.6623818525519849,0.7969069820332044,0.6938178780284043,0.9041916167664671,0.6463035019455253,0.7851571732450956,0.9120198265179678,0.8021798365122615,0.7445624683864441,0.8535807480429111,0.5769770706598034,0.6704730831973899,0.44950783813343054,0.6202213279678067
8,40,0.8878622427551449,0.9805194805194806,0.872472141972761,0.9318933215781354,0.7016790316282702,0.9782253674469243,0.6908881199538639,0.8171896316507503,0.727234753550543,0.9472252448313384,0.6989160979526294,0.8227788279773158,0.952912019826518,0.8381471389645777,0.8048142333856619,0.8918527109307047,0.6682264857276556,0.7760869565217391,0.5602196939976462,0.7181292431481017
9,45,0.8975220495590088,0.9861559760036918,0.8863542098714227,0.9397537379067723,0.7075361187036314,0.985854189336235,0.7004252029377658,0.82382359627188,0.7439431913116124,0.9684611201740077,0.7263458401305057,0.841483581384361,0.9714993804213135,0.8544959128065395,0.8335991493886231,0.9092490576978834,0.7215722976134769,0.8344155844155844,0.6311911584117887,0.7739021329987452
10,50,0.9004619907601848,0.9866543948458353,0.8896265560165975,0.9415898111550285,0.7094884810620852,0.988036976617727,0.7034456058846302,0.8259090909090909,0.7535505430242272,0.9804347826086957,0.7423868312757201,0.8521492678318374,0.9807930607187113,0.8626702997275204,0.8483386923901394,0.9179472310814728,0.7725783809078147,0.8924324324324324,0.706763698630137,0.8281916227740155
