,px_rad,A0_arttrack_PPV,A0_arttrack_TPR,A0_arttrack_TS,A0_arttrack_F1,A1F0_openpose_body25_PPV,A1F0_openpose_body25_TPR,A1F0_openpose_body25_TS,A1F0_openpose_body25_F1,A1F1_openpose_coco_PPV,A1F1_openpose_coco_TPR,A1F1_openpose_coco_TS,A1F1_openpose_coco_F1,A1F2_openpose_mpi_PPV,A1F2_openpose_mpi_TPR,A1F2_openpose_mpi_TS,A1F2_openpose_mpi_F1,A2_posenet_PPV,A2_posenet_TPR,A2_posenet_TS,A2_posenet_F1
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.017827430473021155,0.022414823670053794,0.010029419630917358,0.019859658413875284,0.0497275204359673,0.06545128511655708,0.02907980347895366,0.05651612903225806,0.02689117868811259,0.03197848176927675,0.014824050983651981,0.029215017064846416,0.0417120058034095,0.034369396294082484,0.019205076820307282,0.03768638374569884,0.0075107296137339056,0.008368200836820083,0.003973885892705081,0.00791631325982471
2,10,0.0724982172569527,0.09115361625821877,0.04208057395143488,0.0807626108830928,0.18505903723887376,0.2435744172145846,0.11751982696467195,0.2103225806451613,0.1085699924604172,0.12910938433950986,0.06267227622225446,0.11795221843003412,0.1381936887921654,0.11386730424387329,0.06658511010136316,0.12485662788792398,0.03272532188841202,0.03646144650328751,0.017548906789413118,0.034492507774950526
3,15,0.18849536486807703,0.2369994022713688,0.11730769230769231,0.20998278829604133,0.34582198001816533,0.4551703526598924,0.24458005460093143,0.39303225806451614,0.22895199798944457,0.27226539151225343,0.14203305269722483,0.2487372013651877,0.2687704026115343,0.2214584578601315,0.1381947034688549,0.24283139439619858,0.07618025751072961,0.08487746563060371,0.04182621502209131,0.08029403449250778
4,20,0.34181126693605896,0.42976688583383144,0.23515944399018807,0.38077585065536873,0.48251589464123523,0.6350866706515242,0.37777777777777777,0.5483870967741936,0.37044483538577533,0.44052600119545726,0.2519227482481627,0.40245733788395904,0.4269133115705477,0.3517632994620442,0.23893625659764514,0.38571194494510896,0.1276824034334764,0.14225941422594143,0.07214307365868446,0.13457732541702008
5,25,0.4815783218445448,0.6054991034070532,0.36656413967794466,0.5364755726201509,0.582425068119891,0.7665869695158398,0.49469623915139826,0.6619354838709678,0.4875596883639105,0.5797967722653915,0.36025998142989785,0.5296928327645051,0.5658324265505985,0.46622833233711897,0.34338542813119083,0.5112239882025233,0.1968884120171674,0.2193664076509265,0.11577287066246057,0.2075204975968335
6,30,0.5902067981934871,0.742080095636581,0.4897435897435897,0.657487091222031,0.6405540417801998,0.8430962343096234,0.5723270440251572,0.7279999999999999,0.5981402362402614,0.7112970711297071,0.48129423660262893,0.6498293515358361,0.681537903518317,0.5615660490137477,0.44483901515151514,0.6157627396362444,0.2644849785407725,0.29468021518230725,0.16195795006570302,0.27876731693525586
7,35,0.661278821012598,0.8309438470728794,0.582861931699141,0.7364659166115154,0.6730245231607629,0.885833831440526,0.6193063100710405,0.7649032258064515,0.6702689117868811,0.797071129707113,0.572563331902104,0.7281911262798636,0.7671381936887922,0.632098027495517,0.5303410230692076,0.6931017532361134,0.3409334763948498,0.37985654512851164,0.2190246424263312,0.3593440769013288
8,40,0.698359876396482,0.8770149253731343,0.6360684130764235,0.7775572317057032,0.6916439600363307,0.9103407053197848,0.6475340136054422,0.7860645161290323,0.7150037697914049,0.8502689778840407,0.6350446428571429,0.7767918088737201,0.8132027566195139,0.6700537955768081,0.5806785806785807,0.7347206291987548,0.4187231759656652,0.46624850657108724,0.2830462375339982,0.4412097230073488
9,45,0.7192773948181602,0.900059488399762,0.6660796830288356,0.7995772228828114,0.7020890099909174,0.9240884638374178,0.6638042078145127,0.7979354838709678,0.738879115355617,0.8786610878661087,0.6704675028506272,0.8027303754266213,0.8491113529198404,0.6996413628212791,0.6222753854332802,0.7671636899885301,0.48792918454935624,0.5418528448019064,0.34542347132548423,0.5134791813690897
10,50,0.7371048252911814,0.916371158392435,0.6906458797327394,0.8170201554472403,0.7075386012715713,0.931261207411835,0.6724212343547691,0.8041290322580644,0.7564714752450364,0.8993128174484613,0.6974050046339203,0.8217308217308218,0.87196227783823,0.7184698147041243,0.6499053798323872,0.7878092741274783,0.5512339055793991,0.6114251710800357,0.40822407628128726,0.5797714769360981
