,px_rad,A0_arttrack_PPV,A0_arttrack_TPR,A0_arttrack_TS,A0_arttrack_F1,A1F0_openpose_body25_PPV,A1F0_openpose_body25_TPR,A1F0_openpose_body25_TS,A1F0_openpose_body25_F1,A1F1_openpose_coco_PPV,A1F1_openpose_coco_TPR,A1F1_openpose_coco_TS,A1F1_openpose_coco_F1,A1F2_openpose_mpi_PPV,A1F2_openpose_mpi_TPR,A1F2_openpose_mpi_TS,A1F2_openpose_mpi_F1,A2_posenet_PPV,A2_posenet_TPR,A2_posenet_TS,A2_posenet_F1
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.01889962200755985,0.02452316076294278,0.010788779669144091,0.021347248576850098,0.049980476376415464,0.06975476839237058,0.02999062792877226,0.05823475887170155,0.027986633249791143,0.03651226158038147,0.016098029793368572,0.03168597777252305,0.04584882280049566,0.040326975476839236,0.021925925925925925,0.0429109886923746,0.008890968647636874,0.010354223433242507,0.004806476094105743,0.009566968781470292
2,10,0.07643847123057539,0.0991825613079019,0.0451165096678235,0.08633776091081594,0.1780554470909801,0.24850136239782017,0.11573604060913706,0.20746132848043677,0.10401002506265664,0.13569482288828338,0.06256281407035176,0.11775833530385434,0.13382899628252787,0.11771117166212534,0.06681101144447882,0.125253696723688,0.04117922321010763,0.04795640326975477,0.02265705458290422,0.04431017119838872
3,15,0.19109617807643847,0.24795640326975477,0.12097846317468758,0.21584440227703983,0.3276064037485357,0.45722070844686646,0.2358729266235592,0.3817106460418562,0.21804511278195488,0.2844686648501362,0.14081467493930402,0.24686687160085125,0.26889714993804215,0.23651226158038147,0.1439469320066335,0.25166714989852135,0.09218530650444548,0.10735694822888284,0.05218543046357616,0.09919436052366565
4,20,0.34313313733725326,0.4452316076294278,0.24036481318034716,0.38757115749525617,0.4689574385005857,0.6544959128065395,0.3758998435054773,0.5464058234758872,0.3583959899749373,0.467574931880109,0.2545238801542569,0.40576968550484743,0.42627013630731103,0.3749318801089918,0.24918507787033684,0.3989562191939693,0.15161441272812354,0.176566757493188,0.08881578947368421,0.16314199395770393
5,25,0.48215035699286013,0.6256130790190736,0.3741851368970013,0.5445920303605314,0.5716516985552519,0.7978201634877384,0.49931787175989084,0.6660600545950865,0.4678362573099415,0.6103542234332425,0.3602444515921518,0.529676046346654,0.5625774473358116,0.4948228882833787,0.3573396300669028,0.5265294288199478,0.2274216190921853,0.26485013623978204,0.13941480206540446,0.2447129909365559
6,30,0.5993280134397312,0.7776566757493188,0.5116529221943349,0.676944971537002,0.6263178445919563,0.8741144414168938,0.5744985673352435,0.7297543221110101,0.5647451963241437,0.7367847411444142,0.46993395898505386,0.6393946559470324,0.6703841387856257,0.5896457765667575,0.45711871567384876,0.6274282400695854,0.299017313991577,0.34822888283378745,0.19171917191719173,0.3217522658610272
7,35,0.6686266274674506,0.8666303756124115,0.6062452399086062,0.7548601232811758,0.6563842249121437,0.9160762942779291,0.6191528545119706,0.764786169244768,0.6307435254803676,0.8228882833787466,0.5553512320706142,0.7141168124852212,0.7614622057001239,0.6697547683923706,0.5536036036036036,0.7126703392287619,0.3738886289190454,0.43542234332425067,0.25181216514339744,0.40231621349446123
8,40,0.7022259554808904,0.9091897770527461,0.6562009419152276,0.7924170616113744,0.6755173760249903,0.9427792915531336,0.6489122280570142,0.7870791628753413,0.6741854636591479,0.8795640326975477,0.6172084130019121,0.763301016788839,0.8048327137546468,0.7079019073569482,0.6041860465116279,0.753261815018846,0.457182966775854,0.532425068119891,0.3262103505843072,0.4919436052366566
9,45,0.7261654766904662,0.9345945945945946,0.6910471622701838,0.8173008744977546,0.6841077704021866,0.9547683923705722,0.6626323751891074,0.7970882620564148,0.6967418546365914,0.908991825613079,0.6513080827801639,0.7888389690234098,0.8438661710037175,0.7422343324250681,0.6526114039290848,0.7897941432299218,0.5231633130556855,0.6079390973355084,0.3911826452064381,0.562374245472837
10,50,0.7429651406971861,0.9470021413276232,0.7133064516129032,0.832666509767004,0.6884029675907849,0.9607629427792915,0.6695784276490695,0.8020928116469518,0.7126148705096074,0.9291938997821351,0.6759112519809826,0.8066193853427897,0.8655514250309789,0.761307901907357,0.6807992202729045,0.8100898811249637,0.5886757136172204,0.6840674279499728,0.4628403237674761,0.6327967806841045
