,px_rad,A0_arttrack_PPV,A0_arttrack_TPR,A0_arttrack_TS,A0_arttrack_F1,A1F0_openpose_body25_PPV,A1F0_openpose_body25_TPR,A1F0_openpose_body25_TS,A1F0_openpose_body25_F1,A1F1_openpose_coco_PPV,A1F1_openpose_coco_TPR,A1F1_openpose_coco_TS,A1F1_openpose_coco_F1,A1F2_openpose_mpi_PPV,A1F2_openpose_mpi_TPR,A1F2_openpose_mpi_TS,A1F2_openpose_mpi_F1,A2_posenet_PPV,A2_posenet_TPR,A2_posenet_TS,A2_posenet_F1
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.01642935377875137,0.01985440105890139,0.009071666162685213,0.017980221756068327,0.049376017362995114,0.060225016545334215,0.027888446215139442,0.05426356589147287,0.025236593059936908,0.026472534745201854,0.013089005235602094,0.025839793281653745,0.03587051618547681,0.027134348113831898,0.015690776884806735,0.030896759608138657,0.0056568196103079825,0.005956320317670417,0.002909796314258002,0.005802707930367504
2,10,0.06736035049288061,0.0814030443414957,0.03827006845052894,0.07371890919988014,0.19479110146500273,0.23759099933818664,0.11986644407345576,0.21407274895646988,0.11545741324921135,0.12111184645929848,0.06282183316168898,0.1182170542635659,0.14435695538057744,0.10919920582395765,0.06629168340699076,0.12434061793519219,0.021370207416719043,0.022501654533421574,0.01108213820078227,0.02192134107027724
3,15,0.1851040525739321,0.22369291859695567,0.11270423474491498,0.20257716511836982,0.3711340206185567,0.45268034414295166,0.25617977528089886,0.407871198568873,0.24542586750788645,0.257445400397088,0.14370151459179903,0.25129198966408267,0.268591426071741,0.2031767041694242,0.1308052833404346,0.23134890730972116,0.054682589566310495,0.05757776307081403,0.028855721393034824,0.05609284332688588
4,20,0.34008762322015335,0.4109861019192588,0.22864506627393225,0.3721905903506143,0.5013564839934889,0.6115155526141628,0.3802469135802469,0.5509838998211092,0.3886435331230284,0.40767703507610853,0.24838709677419354,0.39793281653746765,0.42782152230971127,0.32362673726009267,0.2258660508083141,0.36850037678975134,0.09553739786297925,0.10059563203176704,0.05152542372881356,0.09800128949065119
5,25,0.48083242059145676,0.5810721376571807,0.357055713704758,0.5262211567275996,0.5973955507325014,0.728656518861681,0.48868175765645805,0.6565295169946334,0.5173501577287066,0.542686962276638,0.3602811950790861,0.5297157622739018,0.5704286964129484,0.4315023163467902,0.3256743256743257,0.49133383571966843,0.15587680703959775,0.16412971542025148,0.08689558514365803,0.15989684074790458
6,30,0.5783132530120482,0.698874917273329,0.4629548443665059,0.6329038058136051,0.6603364080303853,0.8054268696227663,0.5694899391670566,0.7257006559332141,0.6485804416403785,0.6803441429516877,0.49709864603481624,0.6640826873385014,0.6972878390201225,0.5274652547981469,0.4291868605277329,0.60060286360211,0.21810182275298554,0.22964923891462607,0.12595281306715064,0.22372662798194715
7,35,0.651697699890471,0.7875579086697552,0.5542617605961807,0.7132154629907104,0.6961475854584915,0.8491065519523494,0.619507484307098,0.765056648777579,0.7299684542586751,0.7657180675049636,0.5966993295513151,0.7474160206718348,0.7751531058617673,0.586366644606221,0.501131221719457,0.66767143933685,0.29666876178504087,0.3123759099933819,0.17946768060836502,0.3043197936814958
8,40,0.6933187294633077,0.8378557246856386,0.6112988894253983,0.7587653581060833,0.7140531741725448,0.870946393117141,0.6457311089303238,0.7847346451997614,0.7766561514195583,0.814692256783587,0.660053619302949,0.795219638242894,0.8250218722659668,0.6240900066181337,0.5511396843950906,0.7106254709871892,0.3670647391577624,0.38598810310641113,0.23174603174603176,0.3762886597938144
9,45,0.7102957283680176,0.8578042328042328,0.6354728074473297,0.7771120431396046,0.7270754205100379,0.886829913964262,0.6653426017874876,0.799045915324985,0.8025236593059937,0.8418266048974189,0.6973684210526315,0.8217054263565892,0.8565179352580927,0.6479152878888154,0.5844776119402985,0.7377543330821402,0.4406033940917662,0.46179183135704877,0.2911129568106312,0.4509488581537472
10,50,0.7294633077765608,0.8786279683377308,0.6626865671641791,0.7971274685816876,0.7341291372761801,0.8954334877564527,0.6761619190404797,0.8067978533094813,0.8227129337539432,0.8630046326935804,0.7276785714285714,0.8423772609819122,0.8810148731408574,0.6664460622104567,0.6114146933819065,0.758854559155991,0.5009428032683847,0.5236530880420499,0.3441278065630397,0.5120462576292966
