,dataset,algorithm,matching_type,5px,10px,15px,20px,25px,30px,35px,40px,45px,50px
0,V0_ALepper_EThomas,A1F0_openpose_body25,MATCH_ALL,0.07432054865528562,0.26689013400565414,0.5001919339894103,0.7291282729651974,0.8753431987928141,0.9420176478938646,0.9709820823178421,0.9877036628581407,0.9932387261815544,0.9960612437693948
1,V0_ALepper_EThomas,A1F0_openpose_body25,MATCH_INDIVIDUAL,0.07213370867122976,0.2580322613171908,0.48267244532618503,0.7074159917446697,0.8486343515601589,0.916236606231174,0.9470894905638434,0.9680030176349873,0.9749008708065396,0.9791853483798919
2,V0_ALepper_EThomas,A1F1_openpose_coco,MATCH_ALL,0.019145056550729577,0.08601071265676997,0.22772840505601372,0.4335400648535453,0.6595342090864749,0.8212301376141495,0.9165200521625001,0.962264871902109,0.9844149881382867,0.9916493985199456
3,V0_ALepper_EThomas,A1F1_openpose_coco,MATCH_INDIVIDUAL,0.016796164732602453,0.07559116110149997,0.204779045184435,0.3953693555839417,0.6103380361146395,0.7706208891366386,0.8710254688480107,0.922643796593613,0.9508002965980215,0.9620576400073972
4,V0_ALepper_EThomas,A1F2_openpose_mpi,MATCH_ALL,0.017801123664690065,0.08600031797334776,0.20298130072225218,0.3806433619314018,0.5758012118833764,0.7479248052806257,0.8727057319161593,0.9484800166448322,0.9780010610234197,0.990775281296766
5,V0_ALepper_EThomas,A1F2_openpose_mpi,MATCH_INDIVIDUAL,0.01481630201279337,0.07415893000223722,0.1762714215152691,0.3365716105795924,0.5184895075117257,0.6787824703779273,0.8020838449767023,0.8783454240199848,0.9129204345186306,0.9321713875745372
6,V0_ALepper_EThomas,A2_posenet,MATCH_ALL,0.013209661582287716,0.0582511466367209,0.12682488058176622,0.22568105820778855,0.3201142657789159,0.43751490116380226,0.547088938097173,0.6556366501372136,0.7494009805518633,0.8179690387690828
7,V0_ALepper_EThomas,A2_posenet,MATCH_INDIVIDUAL,0.010269623596584891,0.041530263553312075,0.09362575330009407,0.16651340041392243,0.23977640757028706,0.32879893429002993,0.42223367688466645,0.5093222187220005,0.5894475699965198,0.6520525055811577
8,V1_APalmer_NSayes,A1F0_openpose_body25,MATCH_ALL,0.08036301221861167,0.2863482862884067,0.556865400596539,0.7560915260890957,0.8797274993707831,0.9418330607441292,0.9665716857073818,0.9809467850327416,0.9845389016385911,0.9864760311399349
9,V1_APalmer_NSayes,A1F0_openpose_body25,MATCH_INDIVIDUAL,0.0798447111099516,0.2817257710019564,0.5387404470138774,0.7275274328444078,0.8584808458480551,0.9253556852211078,0.9517396390859676,0.9694298876302289,0.9749684126680158,0.9782257559319297
10,V1_APalmer_NSayes,A1F1_openpose_coco,MATCH_ALL,0.036020265562131074,0.14173018518073927,0.31136137588944157,0.5012764970268226,0.6781272906951812,0.8201147666090118,0.9068377321536847,0.9448247564675581,0.9655205777066794,0.9783941798590503
11,V1_APalmer_NSayes,A1F1_openpose_coco,MATCH_INDIVIDUAL,0.033297341704911915,0.12952226899013458,0.2882075149186859,0.4680503675268639,0.637778277469151,0.7768450723224201,0.8659924217827669,0.9095891215828884,0.9349229506615756,0.9496287788769939
12,V1_APalmer_NSayes,A1F2_openpose_mpi,MATCH_ALL,0.05954001466191531,0.17520436262078004,0.3422643986753596,0.5466471772954039,0.7072096500744691,0.827246605511526,0.9171786234610312,0.9559724570425603,0.9791350240028585,0.9908256670141936
13,V1_APalmer_NSayes,A1F2_openpose_mpi,MATCH_INDIVIDUAL,0.058340988032112316,0.16550875220532496,0.31589321594881015,0.4990874489324214,0.6428725212828394,0.7489307145136568,0.835634382701377,0.8743105008980436,0.9021978286313616,0.9139057758357665
14,V1_APalmer_NSayes,A2_posenet,MATCH_ALL,0.036711814121334396,0.06682431107639542,0.14630540400960382,0.25541441382396135,0.3689545327283268,0.502532088211181,0.6264522798389911,0.745707891570754,0.813828144249145,0.8769440143690488
15,V1_APalmer_NSayes,A2_posenet,MATCH_INDIVIDUAL,0.01084479174407079,0.037492129001181984,0.08896768736731574,0.14620253584368142,0.22390997453766637,0.2994426062440084,0.38661125862864754,0.47299107486653647,0.5519504491995845,0.6378359797576537
16,V2_RAshour_GGaultier,A1F0_openpose_body25,MATCH_ALL,0.12402321011172837,0.4533348092545394,0.8204321162594759,0.9260172287631435,0.9852643411911333,0.9913579406315277,0.9955242008999938,0.9962215650821356,0.9965024028470653,0.9974206775867714
17,V2_RAshour_GGaultier,A1F0_openpose_body25,MATCH_INDIVIDUAL,0.11994609540010107,0.430119445111101,0.7852754484836937,0.8770790688614902,0.9364354719937543,0.9484833968946235,0.9630940184978324,0.966441603711169,0.9666686369983551,0.9689010446829509
18,V2_RAshour_GGaultier,A1F1_openpose_coco,MATCH_ALL,0.03766753286068494,0.17010220841054974,0.4198534452197631,0.7019315927833761,0.8870753741341034,0.9775848792182589,0.9885740070406417,0.9916312110903612,0.9915950227176883,0.9923870940567688
19,V2_RAshour_GGaultier,A1F1_openpose_coco,MATCH_INDIVIDUAL,0.031354367291416475,0.13491784737752532,0.3568962084849473,0.6311790107122611,0.8117552011276843,0.9074475166528557,0.9359216128072517,0.9509755161979284,0.9537993786595145,0.957176614672516
20,V2_RAshour_GGaultier,A1F2_openpose_mpi,MATCH_ALL,0.06793915503478735,0.14136442385165612,0.39446686767943906,0.7493981616730484,0.9117886968304927,0.9733919729704485,0.9928900996535077,0.993633787216477,0.9957090850532336,0.9957090850532336
21,V2_RAshour_GGaultier,A1F2_openpose_mpi,MATCH_INDIVIDUAL,0.06427985688520613,0.12231963014376576,0.3300085444486537,0.655489967408192,0.8194451939852245,0.9064524298585711,0.9382878100661866,0.9450686287473234,0.95210140036766,0.9520739677191399
22,V2_RAshour_GGaultier,A2_posenet,MATCH_ALL,0.029916690749080748,0.10496329609139105,0.312904365550729,0.43467199131436085,0.5495827860604005,0.6916745891785999,0.8038649804137279,0.8379964405474554,0.8869130399727618,0.8896848789486365
23,V2_RAshour_GGaultier,A2_posenet,MATCH_INDIVIDUAL,0.02484198375136871,0.08936914571043525,0.24786103112213045,0.3912069301344471,0.4538133435815334,0.5416924678070941,0.6452541741488214,0.7202161816123366,0.7774784344469874,0.8209010307698676
24,V3_RKandra_IBernabeu,A1F0_openpose_body25,MATCH_ALL,0.0923792682518878,0.30315315301888807,0.536324294384966,0.7570569186027214,0.8763466899977322,0.9366957058576765,0.9648987271287547,0.9814971328996205,0.9869616672969337,0.991492030017173
25,V3_RKandra_IBernabeu,A1F0_openpose_body25,MATCH_INDIVIDUAL,0.09147081454175178,0.2972465655724763,0.5248026135267487,0.7374952187963361,0.8571110321158046,0.9166138071758083,0.9470226317509889,0.9643960024741238,0.9718528631478622,0.9759732861952066
26,V3_RKandra_IBernabeu,A1F1_openpose_coco,MATCH_ALL,0.016330827424791076,0.08238359552456348,0.22475264171804482,0.4198379002177703,0.6384453459273629,0.8020932467318269,0.8957015298989747,0.9457901470376813,0.9719958634631585,0.98266618488297
27,V3_RKandra_IBernabeu,A1F1_openpose_coco,MATCH_INDIVIDUAL,0.013644555440975084,0.0712348605049398,0.20106099569366653,0.38180762911158184,0.5769238043715441,0.7323114552679812,0.823447286724235,0.8766093232893098,0.9054900895622041,0.9208641816889982
28,V3_RKandra_IBernabeu,A1F2_openpose_mpi,MATCH_ALL,0.02399072236866343,0.08989590678104006,0.20538310948086777,0.39815534610053194,0.5832269632879135,0.7383111642414095,0.843105639645455,0.9164203238949682,0.9583639340651127,0.9775001969661854
29,V3_RKandra_IBernabeu,A1F2_openpose_mpi,MATCH_INDIVIDUAL,0.019509339121488972,0.07948800518937785,0.18343060742464215,0.3585444951426379,0.5240246616824489,0.6742877101774472,0.7752667755059983,0.8466531232610329,0.8877310890597185,0.910725181570788
30,V3_RKandra_IBernabeu,A2_posenet,MATCH_ALL,0.02076567218059966,0.0754307284075875,0.1558757624182565,0.27375226556973925,0.39278228492801703,0.5045012990412645,0.6263202804668848,0.7147202554984269,0.7910924646577634,0.8485078661113634
31,V3_RKandra_IBernabeu,A2_posenet,MATCH_INDIVIDUAL,0.007939798902232783,0.0317544965134738,0.07763003681102087,0.1474771446221635,0.22328956192810814,0.30955705900805985,0.41505853097110446,0.5019095825405491,0.5797745505650549,0.6457885684825888
