,px_rad,A0_arttrack_PPV,A0_arttrack_TPR,A0_arttrack_TS,A0_arttrack_F1,A1F0_openpose_body25_PPV,A1F0_openpose_body25_TPR,A1F0_openpose_body25_TS,A1F0_openpose_body25_F1,A1F1_openpose_coco_PPV,A1F1_openpose_coco_TPR,A1F1_openpose_coco_TS,A1F1_openpose_coco_F1,A1F2_openpose_mpi_PPV,A1F2_openpose_mpi_TPR,A1F2_openpose_mpi_TS,A1F2_openpose_mpi_F1,A2_posenet_PPV,A2_posenet_TPR,A2_posenet_TS,A2_posenet_F1
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.020869565217391306,0.02112676056338028,0.010610079575596816,0.02099737532808399,0.0978441127694859,0.10387323943661972,0.053057553956834536,0.10076857386848848,0.03776683087027915,0.040492957746478875,0.01993067590987868,0.03908241291418861,0.04980842911877394,0.022887323943661973,0.015931372549019607,0.031363088057901084,0.013415892672858616,0.022887323943661973,0.00853018372703412,0.016916070266753413
2,10,0.12173913043478261,0.12323943661971831,0.06523765144454799,0.12248468941382328,0.31343283582089554,0.33274647887323944,0.1924643584521385,0.322801024765158,0.15435139573070608,0.16549295774647887,0.08679593721144968,0.15972812234494477,0.13409961685823754,0.061619718309859156,0.04408060453400504,0.0844390832328106,0.04231166150670795,0.0721830985915493,0.027406417112299464,0.053350683148991544
3,15,0.3426086956521739,0.3462214411247803,0.20802534318901794,0.3444055944055944,0.5655058043117744,0.6003521126760564,0.4108433734939759,0.5824081981212639,0.3563218390804598,0.38204225352112675,0.22604166666666667,0.3687340696686491,0.38697318007662834,0.17781690140845072,0.13873626373626374,0.24366706875753924,0.10526315789473684,0.1795774647887324,0.0710801393728223,0.13272608978529604
4,20,0.648695652173913,0.636518771331058,0.4733502538071066,0.6425495262704565,0.7014925373134329,0.7447183098591549,0.5655080213903744,0.7224594363791631,0.555008210180624,0.5950704225352113,0.4028605482717521,0.5743415463041631,0.6666666666666666,0.30633802816901406,0.26564885496183205,0.4197828709288299,0.18163054695562436,0.3093145869947276,0.12922173274596183,0.22886866059817945
5,25,0.8365217391304348,0.7808441558441559,0.6774647887323944,0.8077246011754827,0.7810945273631841,0.829225352112676,0.6728571428571428,0.8044406490179333,0.6962233169129721,0.7464788732394366,0.5630810092961488,0.7204757858963466,0.842911877394636,0.3873239436619718,0.361247947454844,0.5307599517490953,0.24871001031991744,0.4235500878734622,0.18581341557440248,0.31339401820546164
6,30,0.888695652173913,0.822866344605475,0.745985401459854,0.8545150501672241,0.8126036484245439,0.8626760563380281,0.7195301027900147,0.8368915456874466,0.7914614121510674,0.8441330998248686,0.6905444126074498,0.8169491525423728,0.9272030651340997,0.426056338028169,0.4122657580919932,0.5838359469240049,0.3281733746130031,0.5559440559440559,0.26001635322976285,0.4127190136275146
7,35,0.9147826086956522,0.842948717948718,0.7815750371471025,0.8773978315262718,0.8325041459369817,0.8838028169014085,0.750373692077728,0.8573868488471392,0.8111658456486043,0.8636363636363636,0.7190684133915575,0.8365791701947503,0.9808429118773946,0.4507042253521127,0.4467713787085515,0.6176115802171291,0.3931888544891641,0.6603119584055459,0.32703862660944205,0.4928848641655887
8,40,0.9252173913043479,0.8512,0.7964071856287425,0.8866666666666667,0.835820895522388,0.8873239436619719,0.7556221889055472,0.8608027327070881,0.8210180623973727,0.8741258741258742,0.7342143906020558,0.8467400508044031,0.9846743295019157,0.4524647887323944,0.4493006993006993,0.6200241254523522,0.4324045407636739,0.7236614853195165,0.37112488928255094,0.541343669250646
9,45,0.9321739130434783,0.8548644338118022,0.8048048048048048,0.891846921797005,0.8441127694859039,0.8961267605633803,0.7688821752265861,0.8693424423569599,0.8243021346469622,0.8776223776223776,0.7393225331369662,0.8501270110076207,0.9885057471264368,0.45422535211267606,0.45183887915936954,0.6224366706875754,0.47368421052631576,0.7913793103448276,0.42110091743119266,0.5926404131697869
10,50,0.9373913043478261,0.85828025477707,0.8117469879518072,0.8960931005818787,0.8490878938640133,0.9014084507042254,0.7769347496206374,0.874466268146883,0.8275862068965517,0.8811188811188811,0.7444608567208272,0.8535139712108383,0.9885057471264368,0.45422535211267606,0.45183887915936954,0.6224366706875754,0.49019607843137253,0.8175559380378657,0.4418604651162791,0.6129032258064516
