,px_rad,A0_arttrack_PPV,A0_arttrack_TPR,A0_arttrack_TS,A0_arttrack_F1,A1F0_openpose_body25_PPV,A1F0_openpose_body25_TPR,A1F0_openpose_body25_TS,A1F0_openpose_body25_F1,A1F1_openpose_coco_PPV,A1F1_openpose_coco_TPR,A1F1_openpose_coco_TS,A1F1_openpose_coco_F1,A1F2_openpose_mpi_PPV,A1F2_openpose_mpi_TPR,A1F2_openpose_mpi_TS,A1F2_openpose_mpi_F1,A2_posenet_PPV,A2_posenet_TPR,A2_posenet_TS,A2_posenet_F1
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.025,0.02531645569620253,0.012738853503184714,0.025157232704402514,0.11764705882352941,0.12658227848101267,0.06493506493506493,0.12195121951219512,0.04819277108433735,0.05063291139240506,0.02531645569620253,0.04938271604938271,0.07142857142857142,0.0379746835443038,0.025423728813559324,0.049586776859504134,0.007692307692307693,0.012658227848101266,0.004807692307692308,0.009569377990430623
2,10,0.1375,0.13924050632911392,0.07432432432432433,0.13836477987421383,0.3176470588235294,0.34177215189873417,0.19708029197080293,0.3292682926829268,0.13253012048192772,0.13924050632911392,0.0728476821192053,0.13580246913580246,0.11904761904761904,0.06329113924050633,0.04310344827586207,0.08264462809917356,0.038461538461538464,0.06329113924050633,0.024509803921568627,0.04784688995215311
3,15,0.375,0.379746835443038,0.23255813953488372,0.37735849056603776,0.6352941176470588,0.6835443037974683,0.4909090909090909,0.6585365853658536,0.39759036144578314,0.4177215189873418,0.2558139534883721,0.4074074074074074,0.42857142857142855,0.22784810126582278,0.17475728155339806,0.2975206611570248,0.14615384615384616,0.24050632911392406,0.1,0.18181818181818185
4,20,0.675,0.6666666666666666,0.5046728971962616,0.670807453416149,0.7529411764705882,0.810126582278481,0.64,0.7804878048780488,0.5421686746987951,0.569620253164557,0.38461538461538464,0.5555555555555556,0.6428571428571429,0.34177215189873417,0.2872340425531915,0.4462809917355372,0.23076923076923078,0.379746835443038,0.16759776536312848,0.28708133971291866
5,25,0.8125,0.7831325301204819,0.6632653061224489,0.7975460122699387,0.8470588235294118,0.9113924050632911,0.782608695652174,0.8780487804878048,0.7228915662650602,0.759493670886076,0.5882352941176471,0.7407407407407407,0.8333333333333334,0.4430379746835443,0.4069767441860465,0.5785123966942148,0.2692307692307692,0.4430379746835443,0.20114942528735633,0.33492822966507174
6,30,0.8875,0.8452380952380952,0.7634408602150538,0.8658536585365854,0.9058823529411765,0.9746835443037974,0.8850574712643678,0.9390243902439025,0.891566265060241,0.9367088607594937,0.8409090909090909,0.9135802469135801,0.8333333333333334,0.4430379746835443,0.4069767441860465,0.5785123966942148,0.3769230769230769,0.620253164556962,0.30625,0.4688995215311005
7,35,0.9,0.8571428571428571,0.782608695652174,0.8780487804878048,0.9176470588235294,0.9873417721518988,0.9069767441860465,0.9512195121951219,0.9036144578313253,0.9493670886075949,0.8620689655172413,0.9259259259259259,0.9523809523809523,0.5063291139240507,0.49382716049382713,0.6611570247933884,0.45384615384615384,0.7468354430379747,0.3933333333333333,0.5645933014354068
8,40,0.9375,0.8928571428571429,0.8426966292134831,0.9146341463414636,0.9176470588235294,0.9873417721518988,0.9069767441860465,0.9512195121951219,0.9156626506024096,0.9620253164556962,0.8837209302325582,0.9382716049382716,0.9761904761904762,0.5189873417721519,0.5125,0.6776859504132231,0.4846153846153846,0.7974683544303798,0.4315068493150685,0.6028708133971291
9,45,0.95,0.9047619047619048,0.8636363636363636,0.9268292682926829,0.9176470588235294,0.9873417721518988,0.9069767441860465,0.9512195121951219,0.9156626506024096,0.9620253164556962,0.8837209302325582,0.9382716049382716,0.9761904761904762,0.5189873417721519,0.5125,0.6776859504132231,0.5230769230769231,0.8607594936708861,0.48226950354609927,0.6507177033492824
10,50,0.9625,0.9166666666666666,0.8850574712643678,0.9390243902439025,0.9176470588235294,0.9873417721518988,0.9069767441860465,0.9512195121951219,0.9156626506024096,0.9620253164556962,0.8837209302325582,0.9382716049382716,0.9761904761904762,0.5189873417721519,0.5125,0.6776859504132231,0.5307692307692308,0.8734177215189873,0.4928571428571429,0.6602870813397128
