,px_rad,A0_arttrack_PPV,A0_arttrack_TPR,A0_arttrack_TS,A0_arttrack_F1,A1F0_openpose_body25_PPV,A1F0_openpose_body25_TPR,A1F0_openpose_body25_TS,A1F0_openpose_body25_F1,A1F1_openpose_coco_PPV,A1F1_openpose_coco_TPR,A1F1_openpose_coco_TS,A1F1_openpose_coco_F1,A1F2_openpose_mpi_PPV,A1F2_openpose_mpi_TPR,A1F2_openpose_mpi_TS,A1F2_openpose_mpi_F1,A2_posenet_PPV,A2_posenet_TPR,A2_posenet_TS,A2_posenet_F1
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.020202020202020204,0.02044989775051125,0.01026694045174538,0.020325203252032523,0.0945945945945946,0.10020449897750511,0.0511482254697286,0.09731876861966235,0.03612167300380228,0.03885480572597137,0.019076305220883535,0.0374384236453202,0.045662100456621,0.02044989775051125,0.014326647564469915,0.02824858757062147,0.014302741358760428,0.024539877300613498,0.00911854103343465,0.018072289156626505
2,10,0.1191919191919192,0.12065439672801637,0.06378378378378378,0.11991869918699188,0.3127413127413127,0.3312883435582822,0.19171597633136095,0.3217477656405164,0.15779467680608364,0.16973415132924335,0.0890557939914163,0.16354679802955663,0.136986301369863,0.06134969325153374,0.04424778761061947,0.0847457627118644,0.04290822407628129,0.0736196319018405,0.02786377708978328,0.05421686746987952
3,15,0.3373737373737374,0.3408163265306122,0.2041564792176039,0.3390862944162436,0.5540540540540541,0.5869120654396728,0.39861111111111114,0.5700099304865939,0.34980988593155893,0.37627811860940696,0.2214199759326113,0.3625615763546798,0.3789954337899543,0.16973415132924335,0.1328,0.23446327683615817,0.09892729439809297,0.16973415132924335,0.06666666666666667,0.12500000000000003
4,20,0.6444444444444445,0.6316831683168317,0.4684287812041116,0.638,0.693050193050193,0.7341513292433538,0.5540123456790124,0.7130089374379345,0.5570342205323194,0.5991820040899796,0.40581717451523547,0.5773399014778325,0.6712328767123288,0.3006134969325153,0.2620320855614973,0.4152542372881356,0.17401668653158522,0.2979591836734694,0.12341504649196956,0.21971407072987212
5,25,0.8404040404040404,0.7804878048780488,0.6797385620915033,0.8093385214007782,0.7702702702702703,0.8159509202453987,0.65625,0.7924528301886792,0.6920152091254753,0.7443762781186094,0.5591397849462365,0.7172413793103448,0.8447488584474886,0.3783231083844581,0.35372848948374763,0.5225988700564972,0.24553039332538737,0.4204081632653061,0.1834372217275156,0.3100075244544771
6,30,0.8888888888888888,0.819366852886406,0.7432432432432432,0.8527131782945736,0.7972972972972973,0.8445807770961146,0.6952861952861953,0.82025819265144,0.7756653992395437,0.8292682926829268,0.6688524590163935,0.8015717092337918,0.9452054794520548,0.4233128834355828,0.41317365269461076,0.5847457627118644,0.3206197854588796,0.5456389452332657,0.2530573847601129,0.4039039039039039
7,35,0.9171717171717172,0.8407407407407408,0.7814113597246127,0.8772946859903382,0.8185328185328186,0.8670756646216768,0.7272727272727273,0.8421052631578947,0.7965779467680608,0.8498985801217038,0.6983333333333334,0.8223748773307163,0.9863013698630136,0.44171779141104295,0.43902439024390244,0.6101694915254237,0.3837902264600715,0.6465863453815262,0.31724137931034485,0.4816753926701571
8,40,0.9232323232323232,0.844731977818854,0.7892918825561313,0.8822393822393823,0.8223938223938224,0.8711656441717791,0.7332185886402753,0.846077457795432,0.8060836501901141,0.8600405679513184,0.7126050420168067,0.8321884200196271,0.9863013698630136,0.44171779141104295,0.43902439024390244,0.6101694915254237,0.42431466030989273,0.712,0.3621566632756867,0.5317401045556386
9,45,0.9292929292929293,0.8471454880294659,0.7958477508650519,0.8863198458574182,0.832046332046332,0.8813905930470347,0.7482638888888888,0.8560079443892751,0.8098859315589354,0.8640973630831643,0.718381112984823,0.8361138370951914,0.9908675799086758,0.4437627811860941,0.4419551934826884,0.6129943502824858,0.466030989272944,0.780439121756487,0.41201264488935724,0.5835820895522389
10,50,0.9333333333333333,0.8492647058823529,0.8006932409012132,0.8893166506256014,0.8378378378378378,0.8875255623721882,0.7574171029668412,0.861966236345581,0.8136882129277566,0.8681541582150102,0.7241962774957699,0.8400392541707556,0.9908675799086758,0.4437627811860941,0.4419551934826884,0.6129943502824858,0.48390941597139453,0.8087649402390438,0.43422459893048126,0.6055182699478001
