,px_rad,A0_arttrack_PPV,A0_arttrack_TPR,A0_arttrack_TS,A0_arttrack_F1,A1F0_openpose_body25_PPV,A1F0_openpose_body25_TPR,A1F0_openpose_body25_TS,A1F0_openpose_body25_F1,A1F1_openpose_coco_PPV,A1F1_openpose_coco_TPR,A1F1_openpose_coco_TS,A1F1_openpose_coco_F1,A1F2_openpose_mpi_PPV,A1F2_openpose_mpi_TPR,A1F2_openpose_mpi_TS,A1F2_openpose_mpi_F1,A2_posenet_PPV,A2_posenet_TPR,A2_posenet_TS,A2_posenet_F1
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.01217391304347826,0.01232394366197183,0.006161971830985915,0.012248468941382326,0.087893864013267,0.09330985915492958,0.04740608228980322,0.09052092228864218,0.029556650246305417,0.03169014084507042,0.015530629853321829,0.03058623619371283,0.04597701149425287,0.02112676056338028,0.014687882496940025,0.028950542822677925,0.008255933952528379,0.014084507042253521,0.005232177894048398,0.01040988939492518
2,10,0.09043478260869565,0.09154929577464789,0.04766269477543538,0.09098862642169729,0.2885572139303483,0.30633802816901406,0.17452357071213642,0.29718189581554233,0.11986863711001643,0.12852112676056338,0.0661231884057971,0.12404418011894647,0.09578544061302682,0.04401408450704225,0.03109452736318408,0.060313630880579006,0.025799793601651185,0.04401408450704225,0.016534391534391533,0.03253090435914118
3,15,0.23130434782608697,0.23415492957746478,0.1316831683168317,0.23272090988626423,0.5207296849087893,0.5528169014084507,0.3663943990665111,0.5362937660119556,0.29064039408866993,0.31161971830985913,0.177,0.3007646559048428,0.28735632183908044,0.13204225352112675,0.09946949602122016,0.18094089264173704,0.06191950464396285,0.1056338028169014,0.040622884224779957,0.07807417046193885
4,20,0.4608695652173913,0.4665492957746479,0.30182232346241455,0.46369203849518814,0.6384742951907131,0.6778169014084507,0.48982188295165396,0.6575576430401366,0.45648604269293924,0.4894366197183099,0.3092324805339266,0.4723874256584537,0.5287356321839081,0.24295774647887325,0.19971056439942114,0.33293124246079614,0.12280701754385964,0.20950704225352113,0.08392101551480959,0.15484710474951202
5,25,0.5930434782608696,0.6003521126760564,0.4251870324189526,0.5966754155730534,0.7164179104477612,0.7605633802816901,0.584573748308525,0.7378309137489326,0.5878489326765188,0.6302816901408451,0.4371184371184371,0.6083262531860663,0.7088122605363985,0.3257042253521127,0.28726708074534163,0.44632086851628466,0.16615067079463364,0.2834507042253521,0.11700581395348837,0.20949902407286924
6,30,0.6608695652173913,0.6690140845070423,0.4980340760157274,0.6649168853893264,0.7545605306799337,0.801056338028169,0.6354748603351955,0.7771135781383433,0.6748768472906403,0.7235915492957746,0.5365535248041775,0.6983857264231096,0.8160919540229885,0.375,0.3457792207792208,0.5138721351025332,0.23116615067079463,0.39436619718309857,0.1706016755521706,0.291476903057905
7,35,0.7008695652173913,0.7082601054481547,0.543859649122807,0.7045454545454546,0.7810945273631841,0.829225352112676,0.6728571428571428,0.8044406490179333,0.7126436781609196,0.7640845070422535,0.5841184387617766,0.7374681393372982,0.8773946360153256,0.40316901408450706,0.38166666666666665,0.5524728588661038,0.28276573787409703,0.4823943661971831,0.21694378463974665,0.3565387117761874
8,40,0.7356521739130435,0.7421052631578947,0.5858725761772853,0.7388646288209608,0.7943615257048093,0.8433098591549296,0.6921965317919075,0.8181041844577286,0.735632183908046,0.7887323943661971,0.6145404663923183,0.7612574341546304,0.89272030651341,0.4102112676056338,0.39093959731543626,0.5621230398069964,0.33539731682146545,0.5671902268760908,0.26705012325390304,0.4215304798962387
9,45,0.7652173913043478,0.7678883071553229,0.6214689265536724,0.7665505226480835,0.8043117744610282,0.8538732394366197,0.706997084548105,0.8283518360375747,0.7487684729064039,0.8028169014084507,0.6324549237170597,0.7748513169073917,0.9272030651340997,0.426056338028169,0.4122657580919932,0.5838359469240049,0.38183694530443757,0.6434782608695652,0.3151618398637138,0.47927461139896377
10,50,0.782608695652174,0.7785467128027682,0.6401137980085349,0.7805724197745013,0.8126036484245439,0.8626760563380281,0.7195301027900147,0.8368915456874466,0.7619047619047619,0.8169014084507042,0.6507713884992987,0.7884451996601529,0.9310344827586207,0.4278169014084507,0.41467576791808874,0.5862484921592279,0.41279669762641896,0.6932409012131716,0.34904013961605584,0.517464424320828
