,px_rad,A0_arttrack_PPV,A0_arttrack_TPR,A0_arttrack_TS,A0_arttrack_F1,A1F0_openpose_body25_PPV,A1F0_openpose_body25_TPR,A1F0_openpose_body25_TS,A1F0_openpose_body25_F1,A1F1_openpose_coco_PPV,A1F1_openpose_coco_TPR,A1F1_openpose_coco_TS,A1F1_openpose_coco_F1,A1F2_openpose_mpi_PPV,A1F2_openpose_mpi_TPR,A1F2_openpose_mpi_TS,A1F2_openpose_mpi_F1,A2_posenet_PPV,A2_posenet_TPR,A2_posenet_TS,A2_posenet_F1
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.025,0.02531645569620253,0.012738853503184714,0.025157232704402514,0.11764705882352941,0.12658227848101267,0.06493506493506493,0.12195121951219512,0.04819277108433735,0.05063291139240506,0.02531645569620253,0.04938271604938271,0.07142857142857142,0.0379746835443038,0.025423728813559324,0.049586776859504134,0.007692307692307693,0.012658227848101266,0.004807692307692308,0.009569377990430623
2,10,0.125,0.12658227848101267,0.06711409395973154,0.12578616352201258,0.29411764705882354,0.31645569620253167,0.17985611510791366,0.30487804878048785,0.12048192771084337,0.12658227848101267,0.06578947368421052,0.12345679012345678,0.11904761904761904,0.06329113924050633,0.04310344827586207,0.08264462809917356,0.03076923076923077,0.05063291139240506,0.01951219512195122,0.038277511961722493
3,15,0.275,0.27848101265822783,0.16058394160583941,0.27672955974842767,0.5764705882352941,0.620253164556962,0.4260869565217391,0.5975609756097561,0.3373493975903614,0.35443037974683544,0.208955223880597,0.345679012345679,0.3333333333333333,0.17721518987341772,0.1308411214953271,0.23140495867768596,0.1,0.16455696202531644,0.0663265306122449,0.12440191387559811
4,20,0.4875,0.4936708860759494,0.325,0.49056603773584906,0.6470588235294118,0.6962025316455697,0.5045871559633027,0.6707317073170732,0.46987951807228917,0.4936708860759494,0.3170731707317073,0.4814814814814815,0.5,0.26582278481012656,0.21,0.3471074380165289,0.19230769230769232,0.31645569620253167,0.1358695652173913,0.23923444976076558
5,25,0.6125,0.620253164556962,0.44545454545454544,0.6163522012578617,0.7647058823529411,0.8227848101265823,0.6565656565656566,0.7926829268292683,0.6265060240963856,0.6582278481012658,0.4727272727272727,0.6419753086419754,0.7380952380952381,0.3924050632911392,0.34444444444444444,0.5123966942148761,0.23076923076923078,0.379746835443038,0.16759776536312848,0.28708133971291866
6,30,0.6875,0.6962025316455697,0.5288461538461539,0.6918238993710691,0.8235294117647058,0.8860759493670886,0.7446808510638298,0.8536585365853657,0.7590361445783133,0.7974683544303798,0.6363636363636364,0.7777777777777778,0.7380952380952381,0.3924050632911392,0.34444444444444444,0.5123966942148761,0.2923076923076923,0.4810126582278481,0.2222222222222222,0.3636363636363637
7,35,0.7625,0.7721518987341772,0.6224489795918368,0.7672955974842767,0.8705882352941177,0.9367088607594937,0.8222222222222222,0.9024390243902438,0.8313253012048193,0.8734177215189873,0.7419354838709677,0.8518518518518519,0.8333333333333334,0.4430379746835443,0.4069767441860465,0.5785123966942148,0.36923076923076925,0.6075949367088608,0.2981366459627329,0.45933014354066987
8,40,0.8375,0.8481012658227848,0.7282608695652174,0.8427672955974843,0.8823529411764706,0.9493670886075949,0.8426966292134831,0.9146341463414634,0.8433734939759037,0.8860759493670886,0.7608695652173914,0.8641975308641975,0.8333333333333334,0.4430379746835443,0.4069767441860465,0.5785123966942148,0.4307692307692308,0.7088607594936709,0.3660130718954248,0.5358851674641149
9,45,0.875,0.875,0.7777777777777778,0.875,0.8823529411764706,0.9493670886075949,0.8426966292134831,0.9146341463414634,0.8554216867469879,0.8987341772151899,0.7802197802197802,0.8765432098765433,0.8809523809523809,0.46835443037974683,0.44047619047619047,0.6115702479338843,0.46923076923076923,0.7721518987341772,0.41216216216216217,0.583732057416268
10,50,0.875,0.875,0.7777777777777778,0.875,0.8823529411764706,0.9493670886075949,0.8426966292134831,0.9146341463414634,0.8554216867469879,0.8987341772151899,0.7802197802197802,0.8765432098765433,0.8809523809523809,0.46835443037974683,0.44047619047619047,0.6115702479338843,0.46923076923076923,0.7721518987341772,0.41216216216216217,0.583732057416268
