,px_rad,A0_arttrack_PPV,A0_arttrack_TPR,A0_arttrack_TS,A0_arttrack_F1,A1F0_openpose_body25_PPV,A1F0_openpose_body25_TPR,A1F0_openpose_body25_TS,A1F0_openpose_body25_F1,A1F1_openpose_coco_PPV,A1F1_openpose_coco_TPR,A1F1_openpose_coco_TS,A1F1_openpose_coco_F1,A1F2_openpose_mpi_PPV,A1F2_openpose_mpi_TPR,A1F2_openpose_mpi_TS,A1F2_openpose_mpi_F1,A2_posenet_PPV,A2_posenet_TPR,A2_posenet_TS,A2_posenet_F1
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.010101010101010102,0.010224948875255624,0.005107252298263534,0.010162601626016262,0.08301158301158301,0.08793456032719836,0.044605809128630707,0.08540218470705065,0.026615969581749048,0.028629856850715747,0.013986013986013986,0.027586206896551724,0.0410958904109589,0.018404907975460124,0.012875536480686695,0.02542372881355932,0.00834326579261025,0.014314928425357873,0.005299015897047691,0.010542168674698796
2,10,0.08484848484848485,0.08588957055214724,0.044585987261146494,0.08536585365853659,0.2876447876447876,0.3047034764826176,0.17365967365967366,0.29592850049652436,0.11977186311787072,0.12883435582822086,0.0661764705882353,0.12413793103448276,0.091324200913242,0.0408997955010225,0.029069767441860465,0.05649717514124294,0.025029797377830752,0.04294478527607362,0.016067329762815608,0.03162650602409638
3,15,0.22424242424242424,0.22699386503067484,0.12714776632302405,0.22560975609756098,0.5115830115830116,0.5419222903885481,0.35714285714285715,0.5263157894736843,0.2832699619771863,0.3047034764826176,0.1720554272517321,0.2935960591133005,0.2785388127853881,0.12474437627811862,0.09428129829984544,0.17231638418079095,0.05601907032181168,0.09611451942740286,0.03669008587041374,0.07078313253012049
4,20,0.45656565656565656,0.4621676891615542,0.29815303430079154,0.45934959349593496,0.637065637065637,0.6748466257668712,0.4874446085672083,0.6554121151936445,0.4543726235741445,0.4887525562372188,0.3079896907216495,0.470935960591133,0.5342465753424658,0.2392638036809816,0.19796954314720813,0.3305084745762712,0.11203814064362336,0.19222903885480572,0.07617504051863858,0.14156626506024098
5,25,0.5898989898989899,0.5971370143149284,0.42196531791907516,0.5934959349593496,0.7084942084942085,0.7505112474437627,0.5734375,0.7288977159880834,0.5817490494296578,0.6257668711656442,0.4315937940761636,0.6029556650246305,0.7031963470319634,0.3149284253578732,0.2779783393501805,0.4350282485875706,0.15613825983313467,0.26789366053169733,0.10944026733500417,0.19728915662650603
6,30,0.6565656565656566,0.6646216768916156,0.4931714719271624,0.660569105691057,0.7432432432432432,0.787321063394683,0.6189710610932476,0.7646474677259185,0.6615969581749049,0.7116564417177914,0.5217391304347826,0.6857142857142857,0.8310502283105022,0.3721881390593047,0.34600760456273766,0.5141242937853108,0.22169249106078665,0.3803680981595092,0.1628721541155867,0.28012048192771083
7,35,0.6909090909090909,0.6979591836734694,0.5318818040435459,0.6944162436548225,0.7664092664092664,0.8118609406952966,0.6508196721311476,0.7884806355511419,0.6939163498098859,0.7464212678936605,0.5615384615384615,0.7192118226600984,0.8858447488584474,0.3967280163599182,0.377431906614786,0.5480225988700566,0.2693682955899881,0.4621676891615542,0.20508166969147004,0.34036144578313254
8,40,0.7191919191919192,0.725050916496945,0.5650793650793651,0.7221095334685598,0.7799227799227799,0.8261758691206544,0.6699834162520729,0.8023833167825224,0.7186311787072244,0.7730061349693251,0.5934065934065934,0.7448275862068965,0.9041095890410958,0.4049079754601227,0.38823529411764707,0.5593220338983051,0.3206197854588796,0.5445344129554656,0.25281954887218044,0.40360090022505624
9,45,0.7474747474747475,0.7505070993914807,0.598705501618123,0.7489878542510122,0.7915057915057915,0.8384458077709611,0.6867671691792295,0.814299900695134,0.7319391634980988,0.787321063394683,0.6111111111111112,0.7586206896551724,0.9360730593607306,0.41922290388548056,0.40755467196819084,0.57909604519774,0.36829558998808104,0.6229838709677419,0.30116959064327486,0.46292134831460674
10,50,0.7676767676767676,0.7630522088353414,0.6199021207177814,0.7653575025176234,0.8011583011583011,0.8486707566462167,0.7010135135135135,0.824230387288977,0.747148288973384,0.803680981595092,0.6318327974276527,0.774384236453202,0.9406392694063926,0.4212678936605317,0.4103585657370518,0.5819209039548022,0.40405244338498214,0.6807228915662651,0.3396793587174349,0.5071054599850412
