,px_rad,A0_arttrack_PPV,A0_arttrack_TPR,A0_arttrack_TS,A0_arttrack_F1,A1F0_openpose_body25_PPV,A1F0_openpose_body25_TPR,A1F0_openpose_body25_TS,A1F0_openpose_body25_F1,A1F1_openpose_coco_PPV,A1F1_openpose_coco_TPR,A1F1_openpose_coco_TS,A1F1_openpose_coco_F1,A1F2_openpose_mpi_PPV,A1F2_openpose_mpi_TPR,A1F2_openpose_mpi_TS,A1F2_openpose_mpi_F1,A2_posenet_PPV,A2_posenet_TPR,A2_posenet_TS,A2_posenet_F1
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.011612692181877658,0.013992905005912494,0.00638661509400018,0.01269217018233822,0.07253577106518283,0.07193535672053607,0.03747048557642953,0.07223431624777359,0.01965897693079238,0.01931415057154119,0.009838369641602248,0.019485038274182322,0.029170090386195564,0.013992905005912494,0.00954686029312895,0.018913159296750134,0.01414990050851205,0.012613322822230981,0.006713521451799014,0.01333750130249036
2,10,0.05937193326790972,0.07154119038234134,0.03353348729792148,0.06489095459420809,0.23569157392686804,0.2337406385494679,0.1329596412556054,0.23471205224619038,0.09287863590772318,0.09124950729207726,0.048249270529387246,0.09205686449945323,0.10065735414954807,0.04828537642885298,0.03373261737574005,0.06526371870005328,0.06478001326553173,0.05773399014778325,0.03148844707146695,0.06105438633048552
3,15,0.14589466797513903,0.17559055118110237,0.08658512910114541,0.1593710916562444,0.43680445151033387,0.43310344827586206,0.2779112403590846,0.434946076976353,0.2172517552657974,0.2134410721324399,0.12065508021390374,0.2153295556218312,0.22021364009860311,0.10563657863618447,0.07687894434882386,0.1427810335641982,0.13508733141720097,0.12037037037037036,0.0679795282599021,0.12730492759662465
4,20,0.2906444226365718,0.3478856695379796,0.18814187400741134,0.31669934058100163,0.6200317965023847,0.6145361433917668,0.446415796251252,0.6172717380551983,0.38936810431293883,0.3824630541871921,0.23906885084369997,0.38588469184890656,0.38701725554642563,0.18565234528971225,0.14346634176058484,0.2509323388385722,0.23767411010391334,0.21148927798544168,0.1260110186379088,0.22381844680408078
5,25,0.4865881583251554,0.5707981580966999,0.3562447611064543,0.5253399258343634,0.7527821939586645,0.7461099074256451,0.5992722670463534,0.7494311999208627,0.5624874623871615,0.5522946622020879,0.3863323229539818,0.5573444643212084,0.567378800328677,0.2721718565234529,0.22539578913008,0.36787426744805535,0.3462303780676542,0.30766208251473476,0.19460668572138684,0.32580880058254447
6,30,0.6630683676807327,0.745631782232849,0.540749633186608,0.7019305687819237,0.8374403815580286,0.8290379697029313,0.7141162514827996,0.8332179930795847,0.7103309929789368,0.6970472440944881,0.5427651747394237,0.7036264282165922,0.709531635168447,0.3403626330311391,0.29873724269157587,0.46004262120404893,0.4452796816272386,0.39451518119490697,0.26451273969004463,0.4183631076028251
7,35,0.7922800130847236,0.8495264819361628,0.6947791164658634,0.8199052132701422,0.8825516693163752,0.8731812819504522,0.7822793729082261,0.8778414706463729,0.8014042126379137,0.7854895792371215,0.6575049374588545,0.7933670936351902,0.8114215283483976,0.3892392589672842,0.3569492138080607,0.5261054874800213,0.5522883042228609,0.4876049189927777,0.3494683827644096,0.5179348952933859
8,40,0.8673536146548905,0.9001867255134952,0.7912563413906296,0.8834652228238233,0.9119634340222575,0.9022807707432167,0.8299873394827274,0.907096264083811,0.8619859578736209,0.8447021820326323,0.7440692640692641,0.8532565528196984,0.885784716516023,0.4249113125739062,0.40284005979073245,0.5743207245604688,0.6411673667919523,0.5639828860365617,0.4286770140428677,0.6001034661148476
9,45,0.9075891396794242,0.9254503002001334,0.845755220240817,0.9164327002477292,0.9288553259141494,0.9188126597208571,0.8584022038567493,0.9238067002668249,0.9003009027081244,0.8817288801571709,0.8032933595847503,0.8909181141439204,0.9272801972062449,0.4448167126527395,0.429822890877928,0.6012253596164092,0.7101481317709485,0.6226012793176973,0.4964451313755796,0.6634992770088824
10,50,0.9286882564605823,0.9374277695228661,0.8744802094563376,0.933037548270479,0.9403815580286169,0.9302142716728917,0.8784109894189716,0.9352702836248641,0.9211634904714142,0.9019838931447652,0.8373450036469731,0.9114728066693132,0.9502875924404273,0.45585337012219157,0.44523580365736287,0.6161427810335642,0.7751492372319257,0.6769646649932419,0.565848934796643,0.7227375798804371
