,px_rad,A0_arttrack_PPV,A0_arttrack_TPR,A0_arttrack_TS,A0_arttrack_F1,A1F0_openpose_body25_PPV,A1F0_openpose_body25_TPR,A1F0_openpose_body25_TS,A1F0_openpose_body25_F1,A1F1_openpose_coco_PPV,A1F1_openpose_coco_TPR,A1F1_openpose_coco_TS,A1F1_openpose_coco_F1,A1F2_openpose_mpi_PPV,A1F2_openpose_mpi_TPR,A1F2_openpose_mpi_TS,A1F2_openpose_mpi_F1,A2_posenet_PPV,A2_posenet_TPR,A2_posenet_TS,A2_posenet_F1
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.01684470008216927,0.020843924758515507,0.009403669724770643,0.018632129061576914,0.06791338582677166,0.07015760040671072,0.035742035742035744,0.0690172543135784,0.02481389578163772,0.02541942043721403,0.01271617497456765,0.025113008538422903,0.03768624014022787,0.021860701576004067,0.014029363784665579,0.02767052767052767,0.019527235354573486,0.019318759532282664,0.009806451612903225,0.01942243802708919
2,10,0.07025472473294987,0.08693441789527198,0.04042553191489362,0.07770961145194273,0.21653543307086615,0.22369089984748347,0.12363023321157629,0.22005501375343836,0.11612903225806452,0.11896288764616167,0.0624332977588047,0.11752887995981919,0.1165644171779141,0.06761565836298933,0.04470588235294118,0.0855855855855856,0.08119218910585817,0.08032536858159633,0.04207723035952064,0.08075645284947609
3,15,0.17132292522596548,0.2115677321156773,0.10456369107321965,0.18933030646992052,0.41633858267716534,0.4300965937976614,0.26831588962892483,0.423105776444111,0.24516129032258063,0.25114387391967463,0.14162844036697247,0.24811652435961828,0.23400525854513585,0.13573970513472292,0.09398099260823653,0.1718146718146718,0.16238437821171633,0.16065073716319267,0.08785098693355574,0.16151290569895219
4,20,0.3179950698438784,0.3903177004538578,0.21246225638210267,0.35046411591578,0.6082677165354331,0.6283680732079309,0.44733984799131377,0.6181545386346586,0.41786600496277915,0.42784552845528456,0.26806749442852595,0.42279688676876725,0.39964943032427697,0.23182511438739198,0.17194570135746606,0.2934362934362934,0.27029804727646456,0.26727642276422764,0.1552538370720189,0.2687787429739397
5,25,0.5184880854560394,0.619234543670265,0.39314641744548284,0.5644007155635061,0.7475393700787402,0.7722419928825622,0.6125,0.7596899224806202,0.5806451612903226,0.5945121951219512,0.4159260575897618,0.5874968616620637,0.5872042068361086,0.340620233858668,0.2748154224774405,0.43114543114543114,0.39516957862281604,0.3897617840851495,0.24412698412698414,0.3924470528195969
6,30,0.6746096959737058,0.7770941788925698,0.5652323580034423,0.7222344402903014,0.8331692913385826,0.8593908629441624,0.7332178432221741,0.8460769615192404,0.719106699751861,0.7359065515490096,0.5715976331360947,0.7274096385542168,0.7423312883435583,0.4306049822064057,0.3746130030959752,0.545045045045045,0.5015416238437821,0.49317837291561395,0.3309596473380807,0.4973248407643312
7,35,0.8032046014790468,0.8798379837983799,0.7238059977786006,0.8397766323024055,0.8789370078740157,0.9056795131845842,0.8052299368800722,0.892107892107892,0.8104218362282879,0.8272543059777102,0.6931239388794567,0.8187515668087241,0.8448729184925504,0.49008642602948654,0.4496268656716418,0.6203346203346204,0.6120246659815005,0.6,0.43467153284671534,0.6059526837954718
8,40,0.8849630238290879,0.9288486416558862,0.828780300115429,0.9063749211024615,0.9045275590551181,0.9320486815415822,0.8485687903970452,0.918081918081918,0.8630272952853598,0.880506329113924,0.7725455353176366,0.8716791979949874,0.9106047326906223,0.5282155566853076,0.5021749637506041,0.6685971685971686,0.696813977389517,0.6790185277916875,0.5241592578275995,0.6878011666243977
9,45,0.9215283483976993,0.949618966977138,0.8785742264003134,0.9353628023352794,0.9158464566929134,0.9432336543335023,0.8680037313432836,0.9293383270911361,0.8992555831265509,0.916076845298281,0.8308115543328748,0.9075882794891059,0.9474145486415425,0.5495678698525673,0.53330044400592,0.6956241956241955,0.7600205549845838,0.7380239520958084,0.5985430999595306,0.7488607594936709
10,50,0.9428923582580115,0.9622641509433962,0.909270998415214,0.9524797675866362,0.9266732283464567,0.954384186517993,0.8873704052780396,0.9403245942571785,0.9141439205955335,0.9312436804853387,0.8563458856345886,0.9226145755071374,0.964943032427695,0.559735638027453,0.5485799701046338,0.7084942084942084,0.8221993833504625,0.7948335817188277,0.6782534972445952,0.8082849204344531
