,px_rad,A0_arttrack_PPV,A0_arttrack_TPR,A0_arttrack_TS,A0_arttrack_F1,A1F0_openpose_body25_PPV,A1F0_openpose_body25_TPR,A1F0_openpose_body25_TS,A1F0_openpose_body25_F1,A1F1_openpose_coco_PPV,A1F1_openpose_coco_TPR,A1F1_openpose_coco_TS,A1F1_openpose_coco_F1,A1F2_openpose_mpi_PPV,A1F2_openpose_mpi_TPR,A1F2_openpose_mpi_TS,A1F2_openpose_mpi_F1,A2_posenet_PPV,A2_posenet_TPR,A2_posenet_TS,A2_posenet_F1
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.008152173913043478,0.00965561635017702,0.0044398401657540325,0.0088404302342714,0.07566666666666666,0.07306083038300612,0.03860544217687075,0.07434092025544457,0.01616161616161616,0.01544898616028323,0.007961519323270858,0.015797268389007735,0.02165506573859242,0.009011908593498551,0.006404391582799634,0.012727272727272728,0.010089251067132324,0.008368200836820083,0.004595263343937788,0.009148486980999296
2,10,0.05217391304347826,0.06179594464113292,0.029112964366944653,0.05657875349933696,0.24866666666666667,0.24010299324106857,0.1391531430703227,0.24430980841657116,0.0771043771043771,0.07370453813968458,0.039158686730506154,0.07536613460589105,0.08662026295436968,0.036047634373994206,0.026119402985074626,0.05090909090909091,0.05238649592549476,0.04343629343629344,0.024324324324324326,0.0474934036939314
3,15,0.12907608695652173,0.1527822450948858,0.07522964840038011,0.13993224333480628,0.45066666666666666,0.435006435006435,0.2842724978973928,0.4426981008513425,0.1983164983164983,0.18957193434180883,0.10732507288629738,0.19384564752344904,0.20804331013147717,0.08657869327325395,0.06511740498668603,0.12227272727272727,0.11447419480015522,0.09488581537471856,0.05472083101465405,0.1037636299683433
4,20,0.27255434782608695,0.32096,0.17287142364701827,0.29478324761205,0.628,0.6057877813504823,0.4458116422148604,0.6166939443535188,0.37003367003367005,0.3537174122948182,0.22077139413419045,0.36169162415665623,0.37587006960556846,0.1564209848728677,0.12416964741951968,0.2209090909090909,0.21303841676367868,0.17624398073836275,0.10674703480458876,0.19290231904427269
5,25,0.4654891304347826,0.5396975425330813,0.33320365687609416,0.4998540997957397,0.7563333333333333,0.7295819935691318,0.5907315803176256,0.7427168576104746,0.5501683501683502,0.5255709231264072,0.36760404949381326,0.5375884191478861,0.5498839907192575,0.22883810749919536,0.19273515857956086,0.3231818181818182,0.3092743500194024,0.2556945781199872,0.16275270573820708,0.2799438004917457
6,30,0.6554347826086957,0.7256317689530686,0.5252613240418118,0.6887492861222159,0.8403333333333334,0.809829746225506,0.701837416481069,0.8247996073940782,0.7043771043771043,0.672452587592414,0.5244422160942592,0.688044729485282,0.6805877803557618,0.2832314129385259,0.25,0.4,0.40279394644935973,0.33205374280230326,0.222508038585209,0.3640189374013677
7,35,0.785054347826087,0.8301724137931035,0.6764223835167408,0.8069832402234638,0.885,0.8526011560693642,0.7675628794449263,0.8684985279685966,0.7952861952861953,0.7589974293059126,0.6349462365591397,0.7767181848076291,0.7819025522041764,0.3253942710009656,0.29831808793154324,0.4595454545454546,0.5071788901823826,0.4165073295092416,0.29650635208711434,0.45739282589676283
8,40,0.8557065217391304,0.881578947368421,0.7674872044845236,0.868450082735797,0.917,0.8834296724470135,0.8180196253345228,0.8999018645731109,0.8612794612794613,0.8219794344473008,0.7258796821793416,0.8411706675435713,0.8638824439288476,0.3595107821049244,0.34023758757234235,0.5077272727272728,0.5991462941404734,0.4909379968203498,0.3695548109143131,0.5396714435512059
9,45,0.8983695652173913,0.9097413318657127,0.8248502994011976,0.9040196882690731,0.9376666666666666,0.903339755940912,0.8521660102999091,0.920183186130193,0.901010101010101,0.8598971722365039,0.7856723429242514,0.8799736928641895,0.9095127610208816,0.37850016092693917,0.36476426799007444,0.5345454545454544,0.6724873884361661,0.5492868462757527,0.4333583395848962,0.604675505931612
10,50,0.9192934782608696,0.9212962962962963,0.8523557571176619,0.9202937976060935,0.9496666666666667,0.9149004495825305,0.8725880551301685,0.9319594373568858,0.9259259259259259,0.8833922261484098,0.8250825082508251,0.9041591320072332,0.9373549883990719,0.3900869005471516,0.38017565872020076,0.5509090909090909,0.7396197128443927,0.6020214782059381,0.49674224654678134,0.6637645829705728
