,px_rad,A0_arttrack_PPV,A0_arttrack_TPR,A0_arttrack_TS,A0_arttrack_F1,A1F0_openpose_body25_PPV,A1F0_openpose_body25_TPR,A1F0_openpose_body25_TS,A1F0_openpose_body25_F1,A1F1_openpose_coco_PPV,A1F1_openpose_coco_TPR,A1F1_openpose_coco_TS,A1F1_openpose_coco_F1,A1F2_openpose_mpi_PPV,A1F2_openpose_mpi_TPR,A1F2_openpose_mpi_TS,A1F2_openpose_mpi_F1,A2_posenet_PPV,A2_posenet_TPR,A2_posenet_TS,A2_posenet_F1
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.007033038927052666,0.00847457627118644,0.003858232391206819,0.007686807293528781,0.06895866454689985,0.0683878596767836,0.03555692181575981,0.06867207599445874,0.0156469408224674,0.015372487189594008,0.007814848211602044,0.01550849985087981,0.021364009860312245,0.010248324793062672,0.006974248927038627,0.013851891315929676,0.006190581472474021,0.005518328734726055,0.002926115581565472,0.005835156819839532
2,10,0.03892705266601243,0.04690579424517146,0.021735159817351597,0.04254558455488023,0.21899841017488075,0.21718565234528972,0.12239004886717014,0.21808826439738768,0.07622868605817452,0.07489160425699645,0.03926025415848745,0.07555423004274778,0.08134757600657354,0.0390224674812771,0.027086183310533515,0.05274374001065531,0.03139509175326111,0.02798581001182499,0.015018508725542041,0.02959258101490049
3,15,0.09535492312724894,0.11489948758376034,0.05497406883545498,0.10421880586342509,0.4040143084260731,0.40067008277493105,0.2518270779140344,0.40233524638828416,0.18094282848545637,0.1777690185258179,0.09850387681555095,0.17934188289094347,0.1770747740345111,0.08494284588096176,0.06090151194008761,0.11481086840703249,0.07495025425602476,0.06681119432400473,0.03661697990926766,0.07064707721162865
4,20,0.19234543670264967,0.2317698068584943,0.11745904914103077,0.21022524132999645,0.5735294117647058,0.5687820260149783,0.3997229916897507,0.5711458539481495,0.32958876629889666,0.323807646826961,0.19522338403041825,0.32667263147430164,0.3134757600657354,0.150374458021285,0.11312083024462564,0.20324986680873733,0.13398187043997348,0.11940886699507389,0.0673932384341637,0.12627630756407585
5,25,0.3261367353614655,0.392983839180134,0.21688057428757884,0.35645334286735786,0.6975357710651828,0.6917619235317304,0.5321406913280776,0.6946368493963981,0.4754262788365095,0.46708711076074105,0.30823253999219663,0.47121980316134804,0.4580936729663106,0.21974773354355537,0.1744095104020022,0.297016515716569,0.19809860711916868,0.17655172413793102,0.10296483566996092,0.18670556365909566
6,30,0.45158652273470723,0.5440394088669951,0.3275984812529663,0.4935204218428814,0.7744435612082671,0.7680331099724084,0.6276373006925431,0.7712250148426677,0.6062186559679037,0.5955853370122192,0.4294443654966605,0.60085495576101,0.5842235004108464,0.28025226645644463,0.23365100230036148,0.37879595098561536,0.26597391112093743,0.2369042930287515,0.14324839247439866,0.2505988959483388
7,35,0.540399084069349,0.6507780185148709,0.4189172055280842,0.5904744884282013,0.8173688394276629,0.810603074497438,0.6863006841314867,0.813971897882446,0.6912738214643932,0.6791486007094995,0.5210948132466354,0.6851575703350233,0.6774856203779787,0.3249901458415451,0.281447345963475,0.43926478423015447,0.3497678531947822,0.31129476584022037,0.19718309859154928,0.3294117647058823
8,40,0.5997710173372588,0.7218503937007874,0.48717948717948717,0.6551724137931035,0.8469793322734499,0.8399684666929444,0.7292950034223135,0.8434593310904414,0.7496489468405215,0.7364998029168309,0.591110408098703,0.7430162043940749,0.7514379622021364,0.36046511627906974,0.32206374361683393,0.4872136387852956,0.4253813840371435,0.37829335430593786,0.2503578399479506,0.400457904048288
9,45,0.639515865227347,0.7678711704634721,0.5359100877192983,0.697840442620025,0.864268680445151,0.8571147024044147,0.755428174396387,0.8606768256481299,0.7867602808425276,0.7729601891998423,0.6390744663516376,0.7797991848096232,0.7974527526705012,0.382538431217974,0.34866175678103106,0.5170484816196058,0.4897192129117842,0.43491066169251913,0.29928388055668154,0.46069051580698833
10,50,0.6647039581288845,0.7956147220046985,0.5677563565241688,0.7242915701301015,0.875993640699523,0.8687426093811589,0.7736047736047736,0.8723530575895507,0.8134403209628887,0.7991722506897911,0.6753830779480346,0.8062431653245851,0.8348397699260477,0.40047299960583366,0.3710737764791819,0.5412892914224827,0.5487508290957329,0.4869531096723563,0.3477164471840852,0.5160083160083159
