,px_rad,A0_arttrack_PPV,A0_arttrack_TPR,A0_arttrack_TS,A0_arttrack_F1,A1F0_openpose_body25_PPV,A1F0_openpose_body25_TPR,A1F0_openpose_body25_TS,A1F0_openpose_body25_F1,A1F1_openpose_coco_PPV,A1F1_openpose_coco_TPR,A1F1_openpose_coco_TS,A1F1_openpose_coco_F1,A1F2_openpose_mpi_PPV,A1F2_openpose_mpi_TPR,A1F2_openpose_mpi_TS,A1F2_openpose_mpi_F1,A2_posenet_PPV,A2_posenet_TPR,A2_posenet_TS,A2_posenet_F1
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.009860312243221035,0.012201321809862735,0.0054832076764907475,0.010906612133605997,0.0654527559055118,0.06761565836298933,0.03440248318675634,0.06651662915728933,0.020843672456575684,0.021352313167259787,0.01065989847715736,0.02109492717227524,0.024539877300613498,0.014234875444839857,0.00909090909090909,0.018018018018018018,0.005652620760534429,0.005592272496187087,0.0028190671450538185,0.0056222846920521334
2,10,0.04313886606409203,0.05338078291814947,0.024441340782122904,0.04771642808452624,0.20275590551181102,0.20945602440264363,0.11485921382771118,0.20605151287821954,0.09429280397022333,0.09659379766141332,0.05010548523206751,0.09542943244600703,0.08851884312007012,0.05134722928317234,0.03358829398071167,0.064993564993565,0.03134635149023638,0.031011692933401117,0.015835929387331256,0.03117812420138001
3,15,0.10640920295809367,0.13167259786476868,0.06253017865765331,0.11770052260849806,0.3838582677165354,0.3965429588205389,0.2423112767940354,0.3900975243810953,0.20297766749379653,0.20793085917641077,0.11446963336132102,0.20542440984429935,0.17703768624014024,0.10269445856634468,0.06951135581555402,0.12998712998713,0.07451181911613566,0.07371631926792069,0.03848195329087049,0.07411193457705086
4,20,0.20706655710764174,0.25622775800711745,0.12933025404157045,0.229038854805726,0.562992125984252,0.581596339603457,0.40070052539404555,0.5721430357589398,0.34689826302729526,0.3553634977122522,0.21291501675296984,0.3510798593671522,0.3023663453111306,0.17539400101677682,0.1248642779587405,0.222007722007722,0.13514902363823228,0.1337061514997458,0.07205479452054794,0.13442371581906465
5,25,0.3410024650780608,0.42196237925775293,0.23242789134696162,0.3771870029538742,0.6938976377952756,0.7168276563294357,0.544611819235226,0.7051762940735183,0.48535980148883373,0.49720386375190645,0.3255659121171771,0.49121044701155203,0.45223488168273446,0.26232841891204883,0.19907407407407407,0.33204633204633205,0.2132579650565262,0.21098118962887646,0.11863922241280732,0.21211346792742142
6,30,0.45850451930977815,0.5670731707317073,0.33962264150943394,0.5070422535211268,0.7726377952755905,0.7981698017285206,0.6463565253190613,0.7851962990747686,0.6133995037220844,0.6283680732079309,0.45010924981791695,0.6207935710698143,0.5933391761612621,0.344178952719878,0.27848621966269027,0.43564993564993565,0.2903391572456321,0.28694768918232605,0.16865671641791044,0.2886334610472541
7,35,0.5550534100246508,0.686135093956323,0.4426605504587156,0.6136724960254372,0.8188976377952756,0.845958312150483,0.7126338329764454,0.8322080520130032,0.7062034739454094,0.7234367056431114,0.5560765924189136,0.7147162230035159,0.6906222611744084,0.40061006609049316,0.3396551724137931,0.5070785070785071,0.38900308324768756,0.3838742393509128,0.2394811768427713,0.3864216436957632
8,40,0.628594905505341,0.776255707762557,0.5321739130434783,0.6946651532349604,0.8469488188976378,0.874936451448907,0.7554872695346796,0.8607151787946987,0.7647642679900745,0.7834265378749364,0.631298648095043,0.7739829231541939,0.7651183172655566,0.443823080833757,0.3906040268456376,0.5617760617760618,0.47584789311408016,0.4686234817813765,0.3090787716955941,0.47220805711371744
9,45,0.6713229252259655,0.8252525252525252,0.5877697841726619,0.7403715450838242,0.8607283464566929,0.8891713268937468,0.7773333333333333,0.8747186796699175,0.8054590570719603,0.8251143873919674,0.6880033912674862,0.8151682571572074,0.8089395267309377,0.469242501270971,0.42242562929061783,0.5939510939510939,0.5498458376156218,0.5398587285570131,0.37438768369489156,0.544806517311609
10,50,0.7033689400164339,0.8603015075376884,0.6312684365781711,0.7739602169981917,0.8725393700787402,0.9013726487036096,0.7964959568733153,0.8867216804201051,0.8342431761786601,0.8546009150991357,0.7305519339417644,0.844299347061778,0.8580192813321648,0.49771225216065074,0.4598403006106153,0.62998712998713,0.6130524152106885,0.6016137165910237,0.43603801169590645,0.6072792059048103
