,px_rad,A0_arttrack_PPV,A0_arttrack_TPR,A0_arttrack_TS,A0_arttrack_F1,A1F0_openpose_body25_PPV,A1F0_openpose_body25_TPR,A1F0_openpose_body25_TS,A1F0_openpose_body25_F1,A1F1_openpose_coco_PPV,A1F1_openpose_coco_TPR,A1F1_openpose_coco_TS,A1F1_openpose_coco_F1,A1F2_openpose_mpi_PPV,A1F2_openpose_mpi_TPR,A1F2_openpose_mpi_TS,A1F2_openpose_mpi_F1,A2_posenet_PPV,A2_posenet_TPR,A2_posenet_TS,A2_posenet_F1
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.005163043478260869,0.006115223688445446,0.0028073286052009458,0.0055989391483718875,0.07133333333333333,0.06887672996459607,0.03631427116918378,0.07008351072539709,0.012121212121212121,0.011586739620212423,0.005959278265187883,0.011847951291755802,0.018561484918793503,0.007724493080141615,0.005484460694698354,0.010909090909090908,0.006596818005432673,0.0054715159317669775,0.002999823539791777,0.005981703026038
2,10,0.036141304347826086,0.04280656581911812,0.019987977156597534,0.03919257403860321,0.23,0.22207917605407146,0.12737677681373455,0.2259701981332897,0.06397306397306397,0.06115223688445446,0.03227450314251741,0.06253085403982228,0.07501933488012374,0.031219826198905697,0.022542412270508946,0.04409090909090909,0.03143189755529686,0.026070164145477952,0.01445654113867571,0.028501055594651655
3,15,0.08804347826086957,0.10428065658191181,0.05013151787095776,0.09547664653013113,0.4176666666666667,0.4032829095590602,0.2581376184590029,0.4103487800884232,0.165993265993266,0.15867396202124234,0.08828796561604585,0.1622511107454336,0.177107501933488,0.07370453813968458,0.054902900982977704,0.1040909090909091,0.07528133488552581,0.06243965239781139,0.03533697632058288,0.06826178747361013
4,20,0.1826086956521739,0.21628580624396523,0.10989370400654129,0.19802563724767938,0.5806666666666667,0.5606694560669456,0.39908361970217643,0.5704928770263632,0.3178451178451178,0.3038300611522369,0.1839080459770115,0.3106796116504854,0.32327919566898683,0.13453492114579982,0.10497237569060773,0.19,0.13310050446255337,0.11036036036036036,0.06420816173717708,0.12066842568161829
5,25,0.31630434782608696,0.3746379143868684,0.20700693579939533,0.3430086930897304,0.7,0.6758931445123914,0.5240828550037434,0.6877353856230554,0.4686868686868687,0.4480205986482137,0.29711846318036284,0.45812078328122435,0.46326372776488783,0.19279047312520114,0.15759010786635097,0.2722727272727273,0.186651144741948,0.15476190476190477,0.09242890084550345,0.16921723834652597
6,30,0.4470108695652174,0.5294496298680399,0.31991443018280824,0.4847502578458818,0.7756666666666666,0.7489539748953975,0.6156084656084656,0.7620763058785002,0.6013468013468013,0.5748310267138719,0.41621999533908177,0.5877900279743293,0.5761794276875484,0.23978113936272932,0.20383036935704515,0.3386363636363637,0.2475746992627086,0.20521067867481504,0.12638668779714737,0.22441083362645095
7,35,0.5307065217391305,0.6283783783783784,0.40392967942088936,0.575427224513848,0.8163333333333334,0.7882201480527841,0.6694915254237288,0.802030456852792,0.6811447811447812,0.6511103958802703,0.49901332017760236,0.6657890406450551,0.665893271461717,0.27711618925008047,0.2432890647075445,0.39136363636363636,0.320139697322468,0.2652733118971061,0.16968325791855204,0.2901353965183752
8,40,0.5807065217391304,0.6873592795110968,0.45937231298366293,0.6295477979083812,0.847,0.8178307048599935,0.7125630959057768,0.8321598166038972,0.7393939393939394,0.7067911168329578,0.565833548054625,0.7227250287971038,0.7393658159319412,0.3076923076923077,0.2775842044134727,0.43454545454545457,0.3872720217306946,0.32090032154340836,0.2128385583280017,0.35097590997010725
9,45,0.6184782608695653,0.7313624678663239,0.503985828166519,0.6702002355712603,0.8666666666666667,0.8368200836820083,0.7413743940690048,0.8514819060094974,0.774074074074074,0.739942066301899,0.6085230280571731,0.7566233338818497,0.7873163186388245,0.3276472481493402,0.3010053222945003,0.4627272727272727,0.4443150950717889,0.3680488588878174,0.25203609949372663,0.4026019690576652
10,50,0.6391304347826087,0.7543296985246953,0.5290148448043185,0.6919682259488085,0.8783333333333333,0.8480849694238816,0.7589285714285714,0.8629441624365483,0.7993265993265993,0.7640811071773415,0.6411018093437754,0.781306565739674,0.814385150812065,0.3389121338912134,0.3146100985957574,0.47863636363636364,0.5001940240589833,0.413937058445729,0.2928214447978192,0.45299595853101393
